REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/4/20 0:30,4499.63,54.91,TRADE,1,4,2020
VIC1,1/4/20 1:00,4336.76,60.01,TRADE,1,4,2020
VIC1,1/4/20 1:30,4203.77,56.58,TRADE,1,4,2020
VIC1,1/4/20 2:00,4091.98,52.53,TRADE,1,4,2020
VIC1,1/4/20 2:30,3993.89,42.47,TRADE,1,4,2020
VIC1,1/4/20 3:00,3911.26,42.14,TRADE,1,4,2020
VIC1,1/4/20 3:30,3902.85,40.75,TRADE,1,4,2020
VIC1,1/4/20 4:00,3935.69,39.24,TRADE,1,4,2020
VIC1,1/4/20 4:30,4023.43,45.19,TRADE,1,4,2020
VIC1,1/4/20 5:00,4158.14,50.56,TRADE,1,4,2020
VIC1,1/4/20 5:30,4445.49,48.59,TRADE,1,4,2020
VIC1,1/4/20 6:00,4644.2,51.51,TRADE,1,4,2020
VIC1,1/4/20 6:30,4928.55,54.82,TRADE,1,4,2020
VIC1,1/4/20 7:00,5100.06,55.98,TRADE,1,4,2020
VIC1,1/4/20 7:30,5099.57,52.97,TRADE,1,4,2020
VIC1,1/4/20 8:00,5011.17,57.29,TRADE,1,4,2020
VIC1,1/4/20 8:30,4900.87,57.31,TRADE,1,4,2020
VIC1,1/4/20 9:00,4727.85,50.77,TRADE,1,4,2020
VIC1,1/4/20 9:30,4558.17,57.01,TRADE,1,4,2020
VIC1,1/4/20 10:00,4417.42,59.33,TRADE,1,4,2020
VIC1,1/4/20 10:30,4304.87,55.5,TRADE,1,4,2020
VIC1,1/4/20 11:00,4253.92,55.38,TRADE,1,4,2020
VIC1,1/4/20 11:30,4225.97,65.44,TRADE,1,4,2020
VIC1,1/4/20 12:00,4216.52,68.4,TRADE,1,4,2020
VIC1,1/4/20 12:30,4211.46,65.82,TRADE,1,4,2020
VIC1,1/4/20 13:00,4256.96,63.96,TRADE,1,4,2020
VIC1,1/4/20 13:30,4337.49,58.41,TRADE,1,4,2020
VIC1,1/4/20 14:00,4506.87,68.55,TRADE,1,4,2020
VIC1,1/4/20 14:30,4675.74,74.28,TRADE,1,4,2020
VIC1,1/4/20 15:00,4835.96,71.62,TRADE,1,4,2020
VIC1,1/4/20 15:30,4929.47,71.84,TRADE,1,4,2020
VIC1,1/4/20 16:00,5047.05,77.58,TRADE,1,4,2020
VIC1,1/4/20 16:30,5188.71,70.5,TRADE,1,4,2020
VIC1,1/4/20 17:00,5368.9,148.49,TRADE,1,4,2020
VIC1,1/4/20 17:30,5370.43,82.71,TRADE,1,4,2020
VIC1,1/4/20 18:00,5381.84,158.93,TRADE,1,4,2020
VIC1,1/4/20 18:30,5334.95,72.6,TRADE,1,4,2020
VIC1,1/4/20 19:00,5372.48,62.8,TRADE,1,4,2020
VIC1,1/4/20 19:30,5252.81,55.49,TRADE,1,4,2020
VIC1,1/4/20 20:00,5093.9,50.7,TRADE,1,4,2020
VIC1,1/4/20 20:30,4944.63,55.36,TRADE,1,4,2020
VIC1,1/4/20 21:00,4790.13,49.71,TRADE,1,4,2020
VIC1,1/4/20 21:30,4668.91,58.74,TRADE,1,4,2020
VIC1,1/4/20 22:00,4509.81,50.09,TRADE,1,4,2020
VIC1,1/4/20 22:30,4420.1,61.28,TRADE,1,4,2020
