REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/8/20 0:30,5075.11,53.39,TRADE,1,8,2020
VIC1,1/8/20 1:00,4848.77,45.41,TRADE,1,8,2020
VIC1,1/8/20 1:30,4746.14,52.34,TRADE,1,8,2020
VIC1,1/8/20 2:00,4520.01,45.42,TRADE,1,8,2020
VIC1,1/8/20 2:30,4383.36,46.94,TRADE,1,8,2020
VIC1,1/8/20 3:00,4205.47,45.56,TRADE,1,8,2020
VIC1,1/8/20 3:30,4109.75,41.01,TRADE,1,8,2020
VIC1,1/8/20 4:00,4089.98,41.73,TRADE,1,8,2020
VIC1,1/8/20 4:30,4094.68,36.73,TRADE,1,8,2020
VIC1,1/8/20 5:00,4063.42,34.83,TRADE,1,8,2020
VIC1,1/8/20 5:30,4107.25,33.97,TRADE,1,8,2020
VIC1,1/8/20 6:00,4165.95,34.97,TRADE,1,8,2020
VIC1,1/8/20 6:30,4326.36,35.89,TRADE,1,8,2020
VIC1,1/8/20 7:00,4484.43,46.34,TRADE,1,8,2020
VIC1,1/8/20 7:30,4625.76,55.24,TRADE,1,8,2020
VIC1,1/8/20 8:00,4840.67,56.47,TRADE,1,8,2020
VIC1,1/8/20 8:30,5002.37,44.82,TRADE,1,8,2020
VIC1,1/8/20 9:00,5009.9,39.34,TRADE,1,8,2020
VIC1,1/8/20 9:30,5008.27,39.94,TRADE,1,8,2020
VIC1,1/8/20 10:00,4877.82,39.21,TRADE,1,8,2020
VIC1,1/8/20 10:30,4664.78,36.93,TRADE,1,8,2020
VIC1,1/8/20 11:00,4407.27,31.95,TRADE,1,8,2020
VIC1,1/8/20 11:30,4102.99,27.99,TRADE,1,8,2020
VIC1,1/8/20 12:00,3911.6,18.7,TRADE,1,8,2020
VIC1,1/8/20 12:30,3769.18,12.57,TRADE,1,8,2020
VIC1,1/8/20 13:00,3688.14,18.18,TRADE,1,8,2020
VIC1,1/8/20 13:30,3678.89,17.54,TRADE,1,8,2020
VIC1,1/8/20 14:00,3637.63,10.42,TRADE,1,8,2020
VIC1,1/8/20 14:30,3644.81,15.21,TRADE,1,8,2020
VIC1,1/8/20 15:00,3726.68,18.48,TRADE,1,8,2020
VIC1,1/8/20 15:30,3864.83,28.9,TRADE,1,8,2020
VIC1,1/8/20 16:00,4129.34,35.35,TRADE,1,8,2020
VIC1,1/8/20 16:30,4400.04,50.55,TRADE,1,8,2020
VIC1,1/8/20 17:00,4790.41,88.91,TRADE,1,8,2020
VIC1,1/8/20 17:30,5228.01,69.04,TRADE,1,8,2020
VIC1,1/8/20 18:00,5694.6,66.72,TRADE,1,8,2020
VIC1,1/8/20 18:30,6011.04,70,TRADE,1,8,2020
VIC1,1/8/20 19:00,5976.44,73.93,TRADE,1,8,2020
VIC1,1/8/20 19:30,5818.07,68.2,TRADE,1,8,2020
VIC1,1/8/20 20:00,5713.61,72.89,TRADE,1,8,2020
VIC1,1/8/20 20:30,5556.4,77.05,TRADE,1,8,2020
VIC1,1/8/20 21:00,5396.6,72.19,TRADE,1,8,2020
VIC1,1/8/20 21:30,5313.85,57.26,TRADE,1,8,2020
VIC1,1/8/20 22:00,5214.66,49,TRADE,1,8,2020
VIC1,1/8/20 22:30,5053.77,51.68,TRADE,1,8,2020
VIC1,1/8/20 23:00,4937.97,51.67,TRADE,1,8,2020
VIC1,1/8/20 23:30,5041.45,61.06,TRADE,1,8,2020
VIC1,2/8/20 0:00,5035.67,63.17,TRADE,2,8,2020
VIC1,2/8/20 0:30,4830.5,45.43,TRADE,2,8,2020
VIC1,2/8/20 1:00,4670.92,49.7,TRADE,2,8,2020
VIC1,2/8/20 1:30,4534.06,51.84,TRADE,2,8,2020
VIC1,2/8/20 2:00,4365.44,51.85,TRADE,2,8,2020
VIC1,2/8/20 2:30,4234.99,44.26,TRADE,2,8,2020
VIC1,2/8/20 3:00,4122.58,39.36,TRADE,2,8,2020
VIC1,2/8/20 3:30,4064.74,41.03,TRADE,2,8,2020
VIC1,2/8/20 4:00,4033.61,39.28,TRADE,2,8,2020
VIC1,2/8/20 4:30,4015.67,40.15,TRADE,2,8,2020
VIC1,2/8/20 5:00,4011.03,41.66,TRADE,2,8,2020
VIC1,2/8/20 5:30,4037.27,41.15,TRADE,2,8,2020
VIC1,2/8/20 6:00,4089.18,44.49,TRADE,2,8,2020
VIC1,2/8/20 6:30,4215.81,50.44,TRADE,2,8,2020
VIC1,2/8/20 7:00,4335.88,47.45,TRADE,2,8,2020
VIC1,2/8/20 7:30,4382.39,58.43,TRADE,2,8,2020
VIC1,2/8/20 8:00,4555.68,53.14,TRADE,2,8,2020
VIC1,2/8/20 8:30,4672.56,52.97,TRADE,2,8,2020
VIC1,2/8/20 9:00,4664.97,42.07,TRADE,2,8,2020
VIC1,2/8/20 9:30,4599.64,42.34,TRADE,2,8,2020
VIC1,2/8/20 10:00,4444.35,39.8,TRADE,2,8,2020
VIC1,2/8/20 10:30,4292.94,37.45,TRADE,2,8,2020
VIC1,2/8/20 11:00,4066.86,34.81,TRADE,2,8,2020
VIC1,2/8/20 11:30,3873.71,33.7,TRADE,2,8,2020
VIC1,2/8/20 12:00,3764.25,33.84,TRADE,2,8,2020
VIC1,2/8/20 12:30,3708.63,30.28,TRADE,2,8,2020
VIC1,2/8/20 13:00,3658.65,23.09,TRADE,2,8,2020
VIC1,2/8/20 13:30,3689.1,23.7,TRADE,2,8,2020
VIC1,2/8/20 14:00,3688.13,26.31,TRADE,2,8,2020
VIC1,2/8/20 14:30,3760.81,25.19,TRADE,2,8,2020
VIC1,2/8/20 15:00,3832.06,32.33,TRADE,2,8,2020
VIC1,2/8/20 15:30,4031.82,36.17,TRADE,2,8,2020
VIC1,2/8/20 16:00,4226.47,37.99,TRADE,2,8,2020
VIC1,2/8/20 16:30,4491.5,47.52,TRADE,2,8,2020
VIC1,2/8/20 17:00,4876.49,46.9,TRADE,2,8,2020
VIC1,2/8/20 17:30,5303.85,51.21,TRADE,2,8,2020
VIC1,2/8/20 18:00,5834.7,118.19,TRADE,2,8,2020
VIC1,2/8/20 18:30,6142.04,76.06,TRADE,2,8,2020
VIC1,2/8/20 19:00,6133.42,70,TRADE,2,8,2020
VIC1,2/8/20 19:30,5960.58,66.07,TRADE,2,8,2020
VIC1,2/8/20 20:00,5838.35,69.39,TRADE,2,8,2020
VIC1,2/8/20 20:30,5682.67,65.9,TRADE,2,8,2020
VIC1,2/8/20 21:00,5561.03,62.2,TRADE,2,8,2020
VIC1,2/8/20 21:30,5409.21,63.23,TRADE,2,8,2020
VIC1,2/8/20 22:00,5234.53,56.25,TRADE,2,8,2020
VIC1,2/8/20 22:30,5046.59,60.39,TRADE,2,8,2020
VIC1,2/8/20 23:00,4879.25,51.57,TRADE,2,8,2020
VIC1,2/8/20 23:30,4966.09,51.38,TRADE,2,8,2020
VIC1,3/8/20 0:00,5004.04,60.46,TRADE,3,8,2020
VIC1,3/8/20 0:30,4847.01,48.57,TRADE,3,8,2020
VIC1,3/8/20 1:00,4721.65,46.05,TRADE,3,8,2020
VIC1,3/8/20 1:30,4608.12,54.91,TRADE,3,8,2020
VIC1,3/8/20 2:00,4468.33,44.39,TRADE,3,8,2020
VIC1,3/8/20 2:30,4330.74,42.42,TRADE,3,8,2020
VIC1,3/8/20 3:00,4219.95,41.56,TRADE,3,8,2020
VIC1,3/8/20 3:30,4155.43,42.79,TRADE,3,8,2020
VIC1,3/8/20 4:00,4102.56,40.91,TRADE,3,8,2020
VIC1,3/8/20 4:30,4115.15,39.2,TRADE,3,8,2020
VIC1,3/8/20 5:00,4155.39,38.96,TRADE,3,8,2020
VIC1,3/8/20 5:30,4331.57,39.85,TRADE,3,8,2020
VIC1,3/8/20 6:00,4540.44,36.02,TRADE,3,8,2020
VIC1,3/8/20 6:30,4977.28,41.55,TRADE,3,8,2020
VIC1,3/8/20 7:00,5415.19,54.67,TRADE,3,8,2020
VIC1,3/8/20 7:30,5760.42,54.96,TRADE,3,8,2020
VIC1,3/8/20 8:00,6088.13,58.26,TRADE,3,8,2020
VIC1,3/8/20 8:30,6305.67,58.21,TRADE,3,8,2020
VIC1,3/8/20 9:00,6321.66,61.96,TRADE,3,8,2020
VIC1,3/8/20 9:30,6148.78,69.29,TRADE,3,8,2020
VIC1,3/8/20 10:00,5843.33,46.11,TRADE,3,8,2020
VIC1,3/8/20 10:30,5492.99,40.84,TRADE,3,8,2020
VIC1,3/8/20 11:00,5229.39,38.93,TRADE,3,8,2020
VIC1,3/8/20 11:30,5134.14,41.1,TRADE,3,8,2020
VIC1,3/8/20 12:00,5011.33,40.52,TRADE,3,8,2020
VIC1,3/8/20 12:30,4911.49,40.14,TRADE,3,8,2020
VIC1,3/8/20 13:00,4875.74,39.3,TRADE,3,8,2020
VIC1,3/8/20 13:30,4895.91,37.38,TRADE,3,8,2020
VIC1,3/8/20 14:00,4898.74,37.22,TRADE,3,8,2020
VIC1,3/8/20 14:30,4942.16,36.66,TRADE,3,8,2020
VIC1,3/8/20 15:00,5062.95,39.6,TRADE,3,8,2020
VIC1,3/8/20 15:30,5213.45,41.18,TRADE,3,8,2020
VIC1,3/8/20 16:00,5426.84,45.52,TRADE,3,8,2020
VIC1,3/8/20 16:30,5689.91,43.47,TRADE,3,8,2020
VIC1,3/8/20 17:00,5951.85,43.49,TRADE,3,8,2020
VIC1,3/8/20 17:30,6301.1,44.07,TRADE,3,8,2020
VIC1,3/8/20 18:00,6635.51,62.7,TRADE,3,8,2020
VIC1,3/8/20 18:30,6806.45,67.33,TRADE,3,8,2020
VIC1,3/8/20 19:00,6749.57,60.69,TRADE,3,8,2020
VIC1,3/8/20 19:30,6572.54,60.89,TRADE,3,8,2020
VIC1,3/8/20 20:00,6351.49,47.21,TRADE,3,8,2020
VIC1,3/8/20 20:30,6150.22,42.54,TRADE,3,8,2020
VIC1,3/8/20 21:00,5990.12,43.04,TRADE,3,8,2020
VIC1,3/8/20 21:30,5836.84,52.6,TRADE,3,8,2020
VIC1,3/8/20 22:00,5588.67,49.62,TRADE,3,8,2020
VIC1,3/8/20 22:30,5340.17,51.13,TRADE,3,8,2020
VIC1,3/8/20 23:00,5142.97,39.86,TRADE,3,8,2020
VIC1,3/8/20 23:30,5197.33,41.04,TRADE,3,8,2020
VIC1,4/8/20 0:00,5145.87,42.68,TRADE,4,8,2020
VIC1,4/8/20 0:30,4997.2,41.45,TRADE,4,8,2020
VIC1,4/8/20 1:00,4811.24,36.62,TRADE,4,8,2020
VIC1,4/8/20 1:30,4678.54,35,TRADE,4,8,2020
VIC1,4/8/20 2:00,4504.23,34.25,TRADE,4,8,2020
VIC1,4/8/20 2:30,4352.9,29.51,TRADE,4,8,2020
VIC1,4/8/20 3:00,4245.68,23.27,TRADE,4,8,2020
