REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/7/20 0:30,5004.56,38.59,TRADE,1,7,2020
VIC1,1/7/20 1:00,4875.82,37.35,TRADE,1,7,2020
VIC1,1/7/20 1:30,4757.59,35.66,TRADE,1,7,2020
VIC1,1/7/20 2:00,4584,28.97,TRADE,1,7,2020
VIC1,1/7/20 2:30,4414.86,20.46,TRADE,1,7,2020
VIC1,1/7/20 3:00,4253.36,9.63,TRADE,1,7,2020
VIC1,1/7/20 3:30,4135.49,0.2,TRADE,1,7,2020
VIC1,1/7/20 4:00,4117.34,1.49,TRADE,1,7,2020
VIC1,1/7/20 4:30,4168.02,8.95,TRADE,1,7,2020
VIC1,1/7/20 5:00,4201.38,8.95,TRADE,1,7,2020
VIC1,1/7/20 5:30,4382.48,7.94,TRADE,1,7,2020
VIC1,1/7/20 6:00,4644.34,17.91,TRADE,1,7,2020
VIC1,1/7/20 6:30,5042.08,25.74,TRADE,1,7,2020
VIC1,1/7/20 7:00,5468.74,41.83,TRADE,1,7,2020
VIC1,1/7/20 7:30,5805.86,51.99,TRADE,1,7,2020
VIC1,1/7/20 8:00,6118.93,55.72,TRADE,1,7,2020
VIC1,1/7/20 8:30,6388.45,50.61,TRADE,1,7,2020
VIC1,1/7/20 9:00,6352.06,43.31,TRADE,1,7,2020
VIC1,1/7/20 9:30,6277.94,40,TRADE,1,7,2020
VIC1,1/7/20 10:00,6098.78,41.1,TRADE,1,7,2020
VIC1,1/7/20 10:30,5795.86,39.11,TRADE,1,7,2020
VIC1,1/7/20 11:00,5497.55,27.93,TRADE,1,7,2020
VIC1,1/7/20 11:30,5243.33,25.22,TRADE,1,7,2020
VIC1,1/7/20 12:00,5038.32,18.41,TRADE,1,7,2020
VIC1,1/7/20 12:30,4864.21,16.1,TRADE,1,7,2020
VIC1,1/7/20 13:00,4707.46,10.39,TRADE,1,7,2020
VIC1,1/7/20 13:30,4633.11,10.22,TRADE,1,7,2020
VIC1,1/7/20 14:00,4640.15,8.48,TRADE,1,7,2020
VIC1,1/7/20 14:30,4678.39,17.15,TRADE,1,7,2020
VIC1,1/7/20 15:00,4709.56,20.7,TRADE,1,7,2020
VIC1,1/7/20 15:30,4869.45,21.53,TRADE,1,7,2020
VIC1,1/7/20 16:00,5114.98,28.25,TRADE,1,7,2020
VIC1,1/7/20 16:30,5350.27,32.53,TRADE,1,7,2020
VIC1,1/7/20 17:00,5719.48,46.25,TRADE,1,7,2020
VIC1,1/7/20 17:30,6068.27,50.81,TRADE,1,7,2020
VIC1,1/7/20 18:00,6536.34,63.39,TRADE,1,7,2020
VIC1,1/7/20 18:30,6568.85,58.37,TRADE,1,7,2020
VIC1,1/7/20 19:00,6473.1,47.07,TRADE,1,7,2020
VIC1,1/7/20 19:30,6234.16,45.74,TRADE,1,7,2020
VIC1,1/7/20 20:00,6058.06,54.22,TRADE,1,7,2020
VIC1,1/7/20 20:30,5952.99,45.72,TRADE,1,7,2020
VIC1,1/7/20 21:00,5815.31,38.34,TRADE,1,7,2020
VIC1,1/7/20 21:30,5591.43,36.67,TRADE,1,7,2020
VIC1,1/7/20 22:00,5452.53,35.02,TRADE,1,7,2020
VIC1,1/7/20 22:30,5220.89,36.01,TRADE,1,7,2020
VIC1,1/7/20 23:00,4979.29,29.2,TRADE,1,7,2020
VIC1,1/7/20 23:30,5074.29,32.19,TRADE,1,7,2020
VIC1,2/7/20 0:00,5044.16,36.05,TRADE,2,7,2020
VIC1,2/7/20 0:30,4894.19,36.11,TRADE,2,7,2020
VIC1,2/7/20 1:00,4743.23,26.5,TRADE,2,7,2020
VIC1,2/7/20 1:30,4552.81,29.56,TRADE,2,7,2020
VIC1,2/7/20 2:00,4357.62,22.92,TRADE,2,7,2020
VIC1,2/7/20 2:30,4240.6,26.39,TRADE,2,7,2020
VIC1,2/7/20 3:00,4131.73,8.67,TRADE,2,7,2020
VIC1,2/7/20 3:30,4046.49,9.9,TRADE,2,7,2020
VIC1,2/7/20 4:00,3998.41,13.36,TRADE,2,7,2020
VIC1,2/7/20 4:30,4024.42,8.4,TRADE,2,7,2020
VIC1,2/7/20 5:00,4067.3,17.01,TRADE,2,7,2020
VIC1,2/7/20 5:30,4233.86,18.51,TRADE,2,7,2020
VIC1,2/7/20 6:00,4468.61,10.24,TRADE,2,7,2020
VIC1,2/7/20 6:30,4901.02,24.91,TRADE,2,7,2020
