REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/6/20 0:30,4280.25,20.36,TRADE,1,6,2020
VIC1,1/6/20 1:00,4125.91,21.57,TRADE,1,6,2020
VIC1,1/6/20 1:30,4053.37,21.66,TRADE,1,6,2020
VIC1,1/6/20 2:00,3870.33,13.56,TRADE,1,6,2020
VIC1,1/6/20 2:30,3726.38,12.92,TRADE,1,6,2020
VIC1,1/6/20 3:00,3568.13,-2.25,TRADE,1,6,2020
VIC1,1/6/20 3:30,3461.63,-0.35,TRADE,1,6,2020
VIC1,1/6/20 4:00,3437.3,0,TRADE,1,6,2020
VIC1,1/6/20 4:30,3492.77,-0.24,TRADE,1,6,2020
VIC1,1/6/20 5:00,3560.76,2.44,TRADE,1,6,2020
VIC1,1/6/20 5:30,3733.58,5.25,TRADE,1,6,2020
VIC1,1/6/20 6:00,3959.9,6.62,TRADE,1,6,2020
VIC1,1/6/20 6:30,4374.98,24.48,TRADE,1,6,2020
VIC1,1/6/20 7:00,4813.54,32.84,TRADE,1,6,2020
VIC1,1/6/20 7:30,5174.79,36.09,TRADE,1,6,2020
VIC1,1/6/20 8:00,5651.36,41.14,TRADE,1,6,2020
VIC1,1/6/20 8:30,5970.04,44.12,TRADE,1,6,2020
VIC1,1/6/20 9:00,6129.76,54.24,TRADE,1,6,2020
VIC1,1/6/20 9:30,6256.61,62.62,TRADE,1,6,2020
VIC1,1/6/20 10:00,6191.99,48.94,TRADE,1,6,2020
VIC1,1/6/20 10:30,6115.64,37.1,TRADE,1,6,2020
VIC1,1/6/20 11:00,6050.77,36.69,TRADE,1,6,2020
VIC1,1/6/20 11:30,6003.83,35.15,TRADE,1,6,2020
VIC1,1/6/20 12:00,6015.57,35.84,TRADE,1,6,2020
VIC1,1/6/20 12:30,6014.14,35.01,TRADE,1,6,2020
VIC1,1/6/20 13:00,6099.4,35.42,TRADE,1,6,2020
VIC1,1/6/20 13:30,6335.52,71.12,TRADE,1,6,2020
VIC1,1/6/20 14:00,6214.36,36.85,TRADE,1,6,2020
VIC1,1/6/20 14:30,6318.24,39.42,TRADE,1,6,2020
VIC1,1/6/20 15:00,6384.12,40.08,TRADE,1,6,2020
VIC1,1/6/20 15:30,6450.56,38.18,TRADE,1,6,2020
VIC1,1/6/20 16:00,6525.39,35.01,TRADE,1,6,2020
VIC1,1/6/20 16:30,6626.15,35.6,TRADE,1,6,2020
VIC1,1/6/20 17:00,6840.47,38.96,TRADE,1,6,2020
VIC1,1/6/20 17:30,7069.17,38.8,TRADE,1,6,2020
VIC1,1/6/20 18:00,7344.72,46,TRADE,1,6,2020
VIC1,1/6/20 18:30,7199.66,47.83,TRADE,1,6,2020
VIC1,1/6/20 19:00,6987.12,42.51,TRADE,1,6,2020
VIC1,1/6/20 19:30,6733.31,39.76,TRADE,1,6,2020
VIC1,1/6/20 20:00,6583.92,39.73,TRADE,1,6,2020
VIC1,1/6/20 20:30,6314.76,44.52,TRADE,1,6,2020
VIC1,1/6/20 21:00,6117.18,41.87,TRADE,1,6,2020
VIC1,1/6/20 21:30,5925.87,40.21,TRADE,1,6,2020
VIC1,1/6/20 22:00,5664.57,38.78,TRADE,1,6,2020
VIC1,1/6/20 22:30,5396.34,37.29,TRADE,1,6,2020
VIC1,1/6/20 23:00,5155.98,35.46,TRADE,1,6,2020
VIC1,1/6/20 23:30,5282.11,37.54,TRADE,1,6,2020
VIC1,2/6/20 0:00,5241.98,38.77,TRADE,2,6,2020
VIC1,2/6/20 0:30,5020.73,36.27,TRADE,2,6,2020
VIC1,2/6/20 1:00,4846.66,35.5,TRADE,2,6,2020
VIC1,2/6/20 1:30,4694.68,34.99,TRADE,2,6,2020
VIC1,2/6/20 2:00,4470.65,29.27,TRADE,2,6,2020
VIC1,2/6/20 2:30,4352.21,25.65,TRADE,2,6,2020
VIC1,2/6/20 3:00,4188.18,20.98,TRADE,2,6,2020
VIC1,2/6/20 3:30,4077.13,7.58,TRADE,2,6,2020
VIC1,2/6/20 4:00,3955.24,4.7,TRADE,2,6,2020
VIC1,2/6/20 4:30,4015.84,11.67,TRADE,2,6,2020
VIC1,2/6/20 5:00,4083.35,8.04,TRADE,2,6,2020
VIC1,2/6/20 5:30,4253.46,14.6,TRADE,2,6,2020
VIC1,2/6/20 6:00,4469.21,20.53,TRADE,2,6,2020
VIC1,2/6/20 6:30,4882.07,32.66,TRADE,2,6,2020
VIC1,2/6/20 7:00,5354.56,41.99,TRADE,2,6,2020
VIC1,2/6/20 7:30,5700.76,45.28,TRADE,2,6,2020
VIC1,2/6/20 8:00,6103.18,74.49,TRADE,2,6,2020
VIC1,2/6/20 8:30,6420.53,74.26,TRADE,2,6,2020
VIC1,2/6/20 9:00,6435.79,57.81,TRADE,2,6,2020
VIC1,2/6/20 9:30,6433.94,57.22,TRADE,2,6,2020
VIC1,2/6/20 10:00,6282.99,51.59,TRADE,2,6,2020
VIC1,2/6/20 10:30,6153.33,53.44,TRADE,2,6,2020
VIC1,2/6/20 11:00,6035.77,48.33,TRADE,2,6,2020
VIC1,2/6/20 11:30,5873.98,39.7,TRADE,2,6,2020
VIC1,2/6/20 12:00,5867.35,36.73,TRADE,2,6,2020
VIC1,2/6/20 12:30,5881.55,36.13,TRADE,2,6,2020
VIC1,2/6/20 13:00,5826.57,35.48,TRADE,2,6,2020
