REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/9/20 0:30,5074.43,57.13,TRADE,1,9,2020
VIC1,1/9/20 1:00,4981.56,52.82,TRADE,1,9,2020
VIC1,1/9/20 1:30,4856.36,50.82,TRADE,1,9,2020
VIC1,1/9/20 2:00,4682.04,50.2,TRADE,1,9,2020
VIC1,1/9/20 2:30,4537.91,43.81,TRADE,1,9,2020
VIC1,1/9/20 3:00,4449.52,41.96,TRADE,1,9,2020
VIC1,1/9/20 3:30,4325.01,43.02,TRADE,1,9,2020
VIC1,1/9/20 4:00,4299.91,38.22,TRADE,1,9,2020
VIC1,1/9/20 4:30,4342.89,35.43,TRADE,1,9,2020
VIC1,1/9/20 5:00,4353.47,32.31,TRADE,1,9,2020
VIC1,1/9/20 5:30,4521.39,36.89,TRADE,1,9,2020
VIC1,1/9/20 6:00,4755.31,45.01,TRADE,1,9,2020
VIC1,1/9/20 6:30,5132.62,54.83,TRADE,1,9,2020
VIC1,1/9/20 7:00,5454.6,62.6,TRADE,1,9,2020
VIC1,1/9/20 7:30,5652.85,46.72,TRADE,1,9,2020
VIC1,1/9/20 8:00,5801.57,43.69,TRADE,1,9,2020
VIC1,1/9/20 8:30,5878.78,41.66,TRADE,1,9,2020
VIC1,1/9/20 9:00,5691.85,42.91,TRADE,1,9,2020
VIC1,1/9/20 9:30,5514.05,36.01,TRADE,1,9,2020
VIC1,1/9/20 10:00,5161.39,46.89,TRADE,1,9,2020
VIC1,1/9/20 10:30,4817.38,37.62,TRADE,1,9,2020
VIC1,1/9/20 11:00,4596.69,42.85,TRADE,1,9,2020
VIC1,1/9/20 11:30,4424,38.83,TRADE,1,9,2020
VIC1,1/9/20 12:00,4287.74,32.8,TRADE,1,9,2020
VIC1,1/9/20 12:30,4177.3,29.79,TRADE,1,9,2020
VIC1,1/9/20 13:00,4115.4,31.87,TRADE,1,9,2020
VIC1,1/9/20 13:30,4018.49,4.2,TRADE,1,9,2020
VIC1,1/9/20 14:00,3956.64,8.43,TRADE,1,9,2020
VIC1,1/9/20 14:30,4006.59,11.72,TRADE,1,9,2020
VIC1,1/9/20 15:00,4098.48,23.56,TRADE,1,9,2020
VIC1,1/9/20 15:30,4217.83,23.94,TRADE,1,9,2020
VIC1,1/9/20 16:00,4478.88,30.94,TRADE,1,9,2020
VIC1,1/9/20 16:30,4696.01,41.39,TRADE,1,9,2020
VIC1,1/9/20 17:00,4983.63,51.14,TRADE,1,9,2020
VIC1,1/9/20 17:30,5440.03,41.57,TRADE,1,9,2020
VIC1,1/9/20 18:00,5910.31,138.88,TRADE,1,9,2020
VIC1,1/9/20 18:30,6271.56,231.93,TRADE,1,9,2020
VIC1,1/9/20 19:00,6293.68,163.08,TRADE,1,9,2020
VIC1,1/9/20 19:30,6158.84,49.89,TRADE,1,9,2020
VIC1,1/9/20 20:00,6033.88,51.91,TRADE,1,9,2020
VIC1,1/9/20 20:30,5864.7,57.23,TRADE,1,9,2020
VIC1,1/9/20 21:00,5695.56,56.57,TRADE,1,9,2020
VIC1,1/9/20 21:30,5533.12,47.34,TRADE,1,9,2020
VIC1,1/9/20 22:00,5315.99,38.77,TRADE,1,9,2020
VIC1,1/9/20 22:30,5114.53,40.49,TRADE,1,9,2020
VIC1,1/9/20 23:00,4966.96,36.26,TRADE,1,9,2020
VIC1,1/9/20 23:30,5035.6,37.8,TRADE,1,9,2020
VIC1,2/9/20 0:00,4970.12,37.81,TRADE,2,9,2020
VIC1,2/9/20 0:30,4779.21,35.18,TRADE,2,9,2020
VIC1,2/9/20 1:00,4630.78,35.8,TRADE,2,9,2020
VIC1,2/9/20 1:30,4435.97,33.21,TRADE,2,9,2020
VIC1,2/9/20 2:00,4254.31,29.59,TRADE,2,9,2020
VIC1,2/9/20 2:30,4103.15,9.15,TRADE,2,9,2020
VIC1,2/9/20 3:00,3972.25,7.57,TRADE,2,9,2020
VIC1,2/9/20 3:30,3899.9,-1.07,TRADE,2,9,2020
VIC1,2/9/20 4:00,3876.69,-0.37,TRADE,2,9,2020
VIC1,2/9/20 4:30,3857.97,0,TRADE,2,9,2020
VIC1,2/9/20 5:00,3903.45,2.34,TRADE,2,9,2020
VIC1,2/9/20 5:30,4074.78,7.01,TRADE,2,9,2020
VIC1,2/9/20 6:00,4251.2,9.15,TRADE,2,9,2020
VIC1,2/9/20 6:30,4707.68,35.17,TRADE,2,9,2020
VIC1,2/9/20 7:00,4988.65,42.33,TRADE,2,9,2020
VIC1,2/9/20 7:30,5075.58,33.91,TRADE,2,9,2020
VIC1,2/9/20 8:00,5337.36,40.57,TRADE,2,9,2020
VIC1,2/9/20 8:30,5515.12,43.57,TRADE,2,9,2020
VIC1,2/9/20 9:00,5540.48,33.62,TRADE,2,9,2020
VIC1,2/9/20 9:30,5426.77,35.03,TRADE,2,9,2020
VIC1,2/9/20 10:00,5220.3,24.18,TRADE,2,9,2020
VIC1,2/9/20 10:30,5110.57,27.57,TRADE,2,9,2020
VIC1,2/9/20 11:00,4995.59,18.57,TRADE,2,9,2020
VIC1,2/9/20 11:30,4720.7,8.76,TRADE,2,9,2020
VIC1,2/9/20 12:00,4472.31,6.69,TRADE,2,9,2020
VIC1,2/9/20 12:30,4244.78,4.3,TRADE,2,9,2020
VIC1,2/9/20 13:00,3941.32,2.77,TRADE,2,9,2020
VIC1,2/9/20 13:30,3883.58,1.56,TRADE,2,9,2020
VIC1,2/9/20 14:00,3882.91,12.88,TRADE,2,9,2020
VIC1,2/9/20 14:30,3937.33,6.79,TRADE,2,9,2020
VIC1,2/9/20 15:00,4018.8,8.01,TRADE,2,9,2020
VIC1,2/9/20 15:30,4182.91,10.59,TRADE,2,9,2020
VIC1,2/9/20 16:00,4505.56,30.7,TRADE,2,9,2020
VIC1,2/9/20 16:30,4726.17,33.77,TRADE,2,9,2020
VIC1,2/9/20 17:00,4874.35,43.62,TRADE,2,9,2020
VIC1,2/9/20 17:30,5164.85,38.56,TRADE,2,9,2020
VIC1,2/9/20 18:00,5477.83,43.36,TRADE,2,9,2020
VIC1,2/9/20 18:30,5831.87,111.06,TRADE,2,9,2020
VIC1,2/9/20 19:00,5888.64,95.2,TRADE,2,9,2020
VIC1,2/9/20 19:30,5729.52,45.87,TRADE,2,9,2020
VIC1,2/9/20 20:00,5573.98,50.08,TRADE,2,9,2020
VIC1,2/9/20 20:30,5375.3,54.69,TRADE,2,9,2020
VIC1,2/9/20 21:00,5245.16,47.09,TRADE,2,9,2020
VIC1,2/9/20 21:30,5087.63,40.81,TRADE,2,9,2020
VIC1,2/9/20 22:00,5021.9,42.2,TRADE,2,9,2020
VIC1,2/9/20 22:30,4811.99,51.95,TRADE,2,9,2020
VIC1,2/9/20 23:00,4699.84,37.78,TRADE,2,9,2020
VIC1,2/9/20 23:30,4868.23,39.83,TRADE,2,9,2020
VIC1,3/9/20 0:00,4874.54,43.3,TRADE,3,9,2020
VIC1,3/9/20 0:30,4709.91,39.95,TRADE,3,9,2020
VIC1,3/9/20 1:00,4537.11,31.23,TRADE,3,9,2020
VIC1,3/9/20 1:30,4384.58,32.94,TRADE,3,9,2020
VIC1,3/9/20 2:00,4214.12,31.61,TRADE,3,9,2020
VIC1,3/9/20 2:30,4020.69,8.1,TRADE,3,9,2020
VIC1,3/9/20 3:00,3926.91,10.1,TRADE,3,9,2020
VIC1,3/9/20 3:30,3803.15,4.69,TRADE,3,9,2020
VIC1,3/9/20 4:00,3757.01,0.8,TRADE,3,9,2020
VIC1,3/9/20 4:30,3805.01,4.16,TRADE,3,9,2020
VIC1,3/9/20 5:00,3844.73,3.12,TRADE,3,9,2020
VIC1,3/9/20 5:30,3985.42,10.67,TRADE,3,9,2020
VIC1,3/9/20 6:00,4158.38,25.43,TRADE,3,9,2020
VIC1,3/9/20 6:30,4549.16,32.53,TRADE,3,9,2020
VIC1,3/9/20 7:00,4810.91,43.3,TRADE,3,9,2020
VIC1,3/9/20 7:30,4918.94,34.43,TRADE,3,9,2020
VIC1,3/9/20 8:00,5053.87,34.78,TRADE,3,9,2020
VIC1,3/9/20 8:30,4941.23,27.58,TRADE,3,9,2020
VIC1,3/9/20 9:00,4678.62,15.54,TRADE,3,9,2020
VIC1,3/9/20 9:30,4433.7,9.07,TRADE,3,9,2020
VIC1,3/9/20 10:00,4170.75,-9.9,TRADE,3,9,2020
VIC1,3/9/20 10:30,3969.39,-14.18,TRADE,3,9,2020
VIC1,3/9/20 11:00,3845.06,9.58,TRADE,3,9,2020
VIC1,3/9/20 11:30,3726.93,-15.83,TRADE,3,9,2020
VIC1,3/9/20 12:00,3644.42,-26.46,TRADE,3,9,2020
VIC1,3/9/20 12:30,3630.67,-16.5,TRADE,3,9,2020
VIC1,3/9/20 13:00,3650.53,-12.73,TRADE,3,9,2020
VIC1,3/9/20 13:30,3842.94,6.27,TRADE,3,9,2020
VIC1,3/9/20 14:00,3953.16,7.46,TRADE,3,9,2020
VIC1,3/9/20 14:30,4074.11,13.99,TRADE,3,9,2020
VIC1,3/9/20 15:00,4401.7,23.55,TRADE,3,9,2020
VIC1,3/9/20 15:30,4567.93,26.38,TRADE,3,9,2020
VIC1,3/9/20 16:00,4703.99,27.97,TRADE,3,9,2020
VIC1,3/9/20 16:30,4774.2,19.22,TRADE,3,9,2020
VIC1,3/9/20 17:00,5001.04,35.85,TRADE,3,9,2020
VIC1,3/9/20 17:30,5295.81,40.94,TRADE,3,9,2020
VIC1,3/9/20 18:00,5642.68,58.15,TRADE,3,9,2020
VIC1,3/9/20 18:30,5803.92,67.53,TRADE,3,9,2020
VIC1,3/9/20 19:00,5774.68,58.51,TRADE,3,9,2020
VIC1,3/9/20 19:30,5700.86,41.25,TRADE,3,9,2020
VIC1,3/9/20 20:00,5581.76,44.58,TRADE,3,9,2020
VIC1,3/9/20 20:30,5508.07,48.93,TRADE,3,9,2020
VIC1,3/9/20 21:00,5319.04,42.77,TRADE,3,9,2020
VIC1,3/9/20 21:30,5183.68,39.83,TRADE,3,9,2020
VIC1,3/9/20 22:00,5030.15,38.12,TRADE,3,9,2020
VIC1,3/9/20 22:30,4850.83,36.7,TRADE,3,9,2020
VIC1,3/9/20 23:00,4705.46,31.65,TRADE,3,9,2020
VIC1,3/9/20 23:30,4893.17,31.94,TRADE,3,9,2020
VIC1,4/9/20 0:00,4888.51,35.51,TRADE,4,9,2020
VIC1,4/9/20 0:30,4749.18,39.97,TRADE,4,9,2020
VIC1,4/9/20 1:00,4602.01,31.85,TRADE,4,9,2020
VIC1,4/9/20 1:30,4461.47,34.6,TRADE,4,9,2020
VIC1,4/9/20 2:00,4304.01,32.17,TRADE,4,9,2020
VIC1,4/9/20 2:30,4148.8,20.95,TRADE,4,9,2020
VIC1,4/9/20 3:00,4075.83,19.7,TRADE,4,9,2020
VIC1,4/9/20 3:30,4057.08,21.06,TRADE,4,9,2020
VIC1,4/9/20 4:00,4015.83,21.77,TRADE,4,9,2020
VIC1,4/9/20 4:30,4075.92,25.73,TRADE,4,9,2020
VIC1,4/9/20 5:00,4087.49,28.69,TRADE,4,9,2020
VIC1,4/9/20 5:30,4217.72,37.83,TRADE,4,9,2020
VIC1,4/9/20 6:00,4467.11,40,TRADE,4,9,2020
VIC1,4/9/20 6:30,4817.12,43.04,TRADE,4,9,2020
VIC1,4/9/20 7:00,5119.65,54.46,TRADE,4,9,2020
VIC1,4/9/20 7:30,5271.53,44.94,TRADE,4,9,2020
VIC1,4/9/20 8:00,5390.49,52.02,TRADE,4,9,2020
VIC1,4/9/20 8:30,5433.59,56.54,TRADE,4,9,2020
VIC1,4/9/20 9:00,5401.81,55.33,TRADE,4,9,2020
VIC1,4/9/20 9:30,5229.2,55.17,TRADE,4,9,2020
VIC1,4/9/20 10:00,5071.25,53.95,TRADE,4,9,2020
VIC1,4/9/20 10:30,4906.92,44.39,TRADE,4,9,2020
VIC1,4/9/20 11:00,4707.75,31.91,TRADE,4,9,2020
VIC1,4/9/20 11:30,4440.13,6.29,TRADE,4,9,2020
VIC1,4/9/20 12:00,4329.64,16.24,TRADE,4,9,2020
VIC1,4/9/20 12:30,4356.66,6.69,TRADE,4,9,2020
VIC1,4/9/20 13:00,4281.31,4.86,TRADE,4,9,2020
VIC1,4/9/20 13:30,4261.98,8.08,TRADE,4,9,2020
VIC1,4/9/20 14:00,4361.45,9.14,TRADE,4,9,2020
VIC1,4/9/20 14:30,4350.3,8.14,TRADE,4,9,2020
VIC1,4/9/20 15:00,4198.93,9.18,TRADE,4,9,2020
VIC1,4/9/20 15:30,4206.63,17.31,TRADE,4,9,2020
VIC1,4/9/20 16:00,4437.66,46.68,TRADE,4,9,2020
VIC1,4/9/20 16:30,4620.46,19.74,TRADE,4,9,2020
VIC1,4/9/20 17:00,4922.26,40.13,TRADE,4,9,2020
VIC1,4/9/20 17:30,5187.66,52.76,TRADE,4,9,2020
VIC1,4/9/20 18:00,5496.34,43.05,TRADE,4,9,2020
VIC1,4/9/20 18:30,5752.36,48.91,TRADE,4,9,2020
VIC1,4/9/20 19:00,5877.28,68.75,TRADE,4,9,2020
VIC1,4/9/20 19:30,5800.26,62.21,TRADE,4,9,2020
VIC1,4/9/20 20:00,5618.53,58.59,TRADE,4,9,2020
VIC1,4/9/20 20:30,5460.04,49.77,TRADE,4,9,2020
VIC1,4/9/20 21:00,5354.42,45.49,TRADE,4,9,2020
VIC1,4/9/20 21:30,5221.37,42.47,TRADE,4,9,2020
VIC1,4/9/20 22:00,5057.99,41,TRADE,4,9,2020
VIC1,4/9/20 22:30,4913.43,43.13,TRADE,4,9,2020
VIC1,4/9/20 23:00,4792.46,38.38,TRADE,4,9,2020
