Month,Day,TOTALDEMAND,YEAR,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
1,1,226550.31,2016,56.49,12.69,27.74,15.97,21.87,1.63,1.09,6.98,5.98,4.48,3.6
1,2,199245.28,2016,66.32,12.94,26.07,14.76,19.4,4.69,4.19,9.66,8.12,7.04,5.8
1,3,195312.89,2016,71.23,13.13,22.4,15.35,18.41,5.58,3.55,7.79,6.27,6.92,5.35
1,4,221865.01,2016,75.53,13.78,21.67,15.31,18.16,3.91,3.01,7.76,5.58,5.39,4.07
1,5,235747.16,2016,68.87,13.47,24.57,13.86,19.37,0.63,0.71,5.34,3.24,3.29,2.33
1,6,230128.53,2016,72.02,13.99,24.35,15.26,19.16,5.11,2.91,9.82,8.53,7.59,6.01
1,7,224785.39,2016,63.36,10.72,23.36,13.24,17.95,5.85,3.68,8.51,7.5,7.02,5.59
1,8,223759.08,2016,61.87,10.36,23.69,12.95,17.79,4.63,3.42,7.04,5.75,6,4.84
1,9,210965.39,2016,59.94,10.21,24.87,12.69,18.17,2.55,1.9,5.33,5.13,4.11,3.43
1,10,226098.29,2016,46.29,9.6,33.33,12.01,21.87,0.73,0.41,5.16,4.22,2.68,2
1,11,282266.17,2016,45.75,11.79,34.8,17.65,24.51,0.62,0.28,7.78,6.48,3.62,2.86
1,12,270012.22,2016,57.82,12.33,28.18,16,21.12,3.44,2.15,5.23,4.44,4.27,3.56
1,13,320022.15,2016,40.92,13.47,40.36,16.37,28.11,2.6,1.67,12.42,9.49,7.24,5.21
1,14,240792.67,2016,59.43,9.02,24.53,12.62,17.5,7.4,4.4,11.3,9.3,9.48,7.53
1,15,226489.58,2016,53.34,5.97,20.17,12.03,15.47,6.34,3.73,9.55,7.8,8.27,6.5
1,16,206092.34,2016,51.27,6.68,24.91,10.22,17.07,1.93,1.93,6.05,5.07,4.45,3.49
1,17,228194.14,2016,40.67,8.73,32.02,13.14,22.98,1.59,1.09,7.87,6.43,4.09,2.86
1,18,295635.17,2016,33.28,8.16,34.63,17.7,25.76,2.52,1.81,9.5,7.49,6.69,4.91
1,19,297224.74,2016,43.38,10.27,35.23,15.13,23.82,0.13,0.11,7.14,5.38,3.9,3.09
1,20,284943.02,2016,66.32,15.79,29.52,17.93,22.47,0.46,0.54,5.92,4.94,3.85,3.15
1,21,278901.23,2016,65.42,14.76,28.21,16.99,21.53,2.21,2.27,4.75,3.98,3.74,3.34
1,22,258270.37,2016,81.9,15.77,22.23,16.37,18.92,0.66,0.31,4.12,3.29,2.65,2.1
1,23,216195.69,2016,71.66,13.34,23.81,15.39,18.62,4.3,2.68,7.1,6.44,6.01,4.81
1,24,206792.6,2016,71.49,12.73,23.6,14.26,17.95,4.66,3.06,6.86,6.15,5.64,4.47
1,25,225299.2,2016,69.89,12.13,22.77,14.1,17.8,6.15,3.69,8.01,6.98,6.89,5.44
1,26,220305.63,2016,65.08,13.84,27.3,14.75,20.69,3.11,3.18,7.05,5.84,5.66,4.36
1,27,267436.07,2016,71.93,16.77,27.65,16.98,22.1,4.41,2.73,8.21,6.44,6.13,4.23
1,28,268339.66,2016,66.76,15.33,28.46,15.99,21.98,2.68,1.67,7.84,5.99,5.93,4.19
1,29,247230.42,2016,80.2,10.9,17.7,11.18,14.33,1.07,1.26,4.99,4.1,3.6,2.9
1,30,215158.69,2016,67.44,10.57,23.23,11.09,16.78,2.28,1.58,7,5.49,3.82,3.1
1,31,202559.3,2016,75.79,12.05,20.48,12.27,16.41,2.39,1.62,7.62,6.26,5.54,4.25
2,1,239239.55,2016,69.47,11.86,24.41,10.93,17.61,2.2,1.54,5.45,4.97,3.75,2.92
2,2,267978.31,2016,61.41,13.2,29.48,13.41,20.98,2.17,1.58,5.11,3.27,3.5,2.46
2,3,245188.95,2016,74.74,13.34,21.94,14.94,18.11,5.18,3.44,11.19,9.59,8.68,6.83
2,4,239839.21,2016,67.37,11.07,22.04,13.41,17.17,6.83,4.57,9,7.89,8.15,6.35
2,5,252661.1,2016,62.88,12.52,27.26,14.1,19.87,3.68,2.79,6.76,5.43,5.5,4.02
2,6,247474.02,2016,54.57,12.83,31.16,14.04,22.54,0.6,0.41,7.77,6.32,4.3,2.96
2,7,248873.62,2016,51.97,13.61,32.83,17.24,24.22,1.68,1.19,7.29,5.63,4.02,3.08
2,8,258654.45,2016,69.33,13.41,25.04,15.26,19.23,4.04,3.04,7.38,6.13,5.8,4.59
2,9,262542.53,2016,64.3,12.06,26.65,14.07,18.99,2.67,2.68,7.09,5.18,4.92,3.79
2,10,264530.01,2016,69.58,12.72,24.62,13.42,18.39,2.9,2.03,5.45,4.82,4.04,3.21
2,11,262007.58,2016,67.32,12.53,25.23,14.12,18.72,4.18,3.12,6.51,5.8,5.22,4.11
2,12,267691.04,2016,57.49,11.78,29.16,13.43,20.58,1.09,0.63,5.06,3.31,3.12,2.39
2,13,241679.99,2016,46.46,10.96,32.78,16.53,23.56,2.56,1.54,8.66,6.63,6.44,4.61
2,14,208729.47,2016,61.15,10.92,25.01,14.2,18.7,3.88,2.4,7.37,6.3,6.04,4.64
2,15,241726.65,2016,56.12,9.53,25.67,12.27,18.55,2.36,1.62,8.72,6.82,5.44,4.13
2,16,234124.07,2016,60.91,7.42,18.88,12.48,15.17,7.29,4.69,10.51,8.89,8.96,7
2,17,238963.58,2016,77.26,12,20.62,12.78,16.06,5.85,3.94,9.37,7.76,7.78,5.98
2,18,251928.37,2016,73.59,12.79,24.01,13.74,17.55,2.15,1.87,5.67,3.88,3.89,2.86
2,19,245983.32,2016,76.8,11.92,20.83,12.65,16.04,1.15,0.78,7.11,6.19,4.67,3.67
2,20,211823.42,2016,64.44,8.92,21.01,11.25,15.62,5.26,3.13,7.56,6.81,6.38,4.75
2,21,215768.71,2016,58.62,10.44,28.5,11.5,18.89,0.78,0.72,6.1,3.99,3.63,2.46
2,22,261054.65,2016,51.61,11.4,30.94,14.79,22.24,0.37,0.25,5.13,3.88,3.48,2.43
2,23,313849.66,2016,43.53,13.2,37.72,18.38,26.73,0.13,0.02,13.2,9.81,7.94,5.5
2,24,304838.83,2016,58.31,15.96,29.25,20.17,24.73,0.21,0.15,4.19,3.76,1.98,1.52
2,25,276129.71,2016,61.23,14.39,29.32,16.15,22.58,0.43,0.21,8.56,6.75,4.98,3.66
2,26,245151.87,2016,60.93,10.61,24.51,12.76,18.32,4.45,2.55,6.64,5.6,5.59,4.26
2,27,221091.68,2016,63.97,11.93,25.39,14.4,18.9,3.37,2.35,5.7,4.59,4.31,3.34
2,28,211563.97,2016,66.88,11.93,24.32,14.38,18.24,3.6,2.37,6.89,6.06,5.34,4.28
2,29,250800.16,2016,65.66,11.88,25.66,13.95,18.49,3.27,1.99,6.19,5.18,4.92,3.85
3,1,279446.68,2016,44.71,9.71,32.51,13.97,23.01,0.87,0.49,7.03,5.56,3.57,2.68
3,2,290365.96,2016,39.13,8.75,33.99,16.86,24.15,2.95,2.22,7.72,6.48,4.96,3.74
3,3,272452.24,2016,63.03,12.62,27.95,15.9,19.87,2.07,2.29,6.34,5.22,4.42,3.79
3,4,298753.14,2016,49.91,13.73,35.41,15.82,24.99,0.71,0.51,8.12,6.27,4.21,3.08
3,5,249384.63,2016,73.06,15.31,25.95,16.45,20.33,0.77,0.96,4.73,4.48,3.29,2.79
3,6,235415.9,2016,67.07,14.63,30.45,15.14,20.98,0.42,0.92,5.64,5.11,3.37,3.01
