Month,Day,Year,TOTALDEMAND,dew_point,T2M_MAX,T2M_MIN,WS50M_MIN,WS50M_MAX,avg_temp,relative_humidity,avg_wind_speed,Date
1,1,2016,322212.93,11.8,19.1,13.6,11.8,17.1,16.3,77.6,14.4,01-01-2016
1,2,2016,323133.95,9.6,17.4,13.7,6.7,14.4,15.6,70.8,10.6,02-01-2016
1,3,2016,317665.92,13.7,19.5,17.6,8.7,15.2,18.5,74.2,11.9,03-01-2016
1,4,2016,353210.4,15,19.9,17.8,3.2,18,18.9,79.1,10.6,04-01-2016
1,5,2016,358082.97,13.5,19.6,16.6,6.9,13.8,18.1,73,10.3,05-01-2016
1,6,2016,357451.06,12.5,17,15.6,0.4,8.3,16.3,78.4,4.3,06-01-2016
1,7,2016,351570.67,14,18.3,15.8,2.1,16.3,17,84.2,9.2,07-01-2016
1,8,2016,355814.96,11.8,19.1,16,4.2,13.3,17.6,70.5,8.7,08-01-2016
1,9,2016,344216.79,14.2,19.2,17,5.5,15.3,18.1,78,10.4,09-01-2016
1,10,2016,352812.68,11.9,18.9,16.9,3.3,15.5,17.9,68.2,9.4,10-01-2016
1,11,2016,436716.4,11.5,18,15,8.7,15.6,16.5,72.5,12.1,11-01-2016
1,12,2016,435360.14,11.4,16,14,1.2,8.4,15,80.8,4.8,12-01-2016
1,13,2016,438032.58,10.8,16.3,14.4,3.8,14,15.3,76.5,8.9,13-01-2016
1,14,2016,449709.69,12.3,19.2,14.4,3.6,18,16.8,72.3,10.8,14-01-2016
1,15,2016,360495.64,9.9,17.5,16.1,2.4,11.3,16.8,64.3,6.8,15-01-2016
1,16,2016,326492.1,10.9,18.3,14.4,5.9,12.4,16.3,69.6,9.1,16-01-2016
1,17,2016,324006.75,9.5,15.6,14.3,1,11.3,14.9,70.7,6.2,17-01-2016
1,18,2016,383092.64,12.4,20.8,13.8,8.4,25.8,17.3,81.3,17.1,18-01-2016
1,19,2016,425665.84,12.4,21.3,17.4,16.9,22.7,19.4,65.1,19.8,19-01-2016
1,20,2016,461077.73,10.1,17.7,12.3,15.1,25.1,15,71.7,20.1,20-01-2016
1,21,2016,471786.4,8.3,13.6,12.8,13.3,17.6,13.2,71.8,15.4,21-01-2016
