LAT,LON,YEAR,MO,DY,Date,dew_point,T2M_MAX,T2M_MIN,WS50M_MIN,WS50M_MAX,avg_temp,relative_humidity,avg_wind_speed
33.95001,151.17001,2016,1,1,01-01-2016,11.8,19.1,13.6,11.8,17.1,16.3,77.6,14.4
33.95001,151.17001,2016,1,2,02-01-2016,9.6,17.4,13.7,6.7,14.4,15.6,70.8,10.6
33.95001,151.17001,2016,1,3,03-01-2016,13.7,19.5,17.6,8.7,15.2,18.5,74.2,11.9
33.95001,151.17001,2016,1,4,04-01-2016,15,19.9,17.8,3.2,18,18.9,79.1,10.6
33.95001,151.17001,2016,1,5,05-01-2016,13.5,19.6,16.6,6.9,13.8,18.1,73,10.3
33.95001,151.17001,2016,1,6,06-01-2016,12.5,17,15.6,0.4,8.3,16.3,78.4,4.3
33.95001,151.17001,2016,1,7,07-01-2016,14,18.3,15.8,2.1,16.3,17,84.2,9.2
33.95001,151.17001,2016,1,8,08-01-2016,11.8,19.1,16,4.2,13.3,17.6,70.5,8.7
33.95001,151.17001,2016,1,9,09-01-2016,14.2,19.2,17,5.5,15.3,18.1,78,10.4
33.95001,151.17001,2016,1,10,10-01-2016,11.9,18.9,16.9,3.3,15.5,17.9,68.2,9.4
33.95001,151.17001,2016,1,11,11-01-2016,11.5,18,15,8.7,15.6,16.5,72.5,12.1
33.95001,151.17001,2016,1,12,12-01-2016,11.4,16,14,1.2,8.4,15,80.8,4.8
33.95001,151.17001,2016,1,13,13-01-2016,10.8,16.3,14.4,3.8,14,15.3,76.5,8.9
33.95001,151.17001,2016,1,14,14-01-2016,12.3,19.2,14.4,3.6,18,16.8,72.3,10.8
33.95001,151.17001,2016,1,15,15-01-2016,9.9,17.5,16.1,2.4,11.3,16.8,64.3,6.8
33.95001,151.17001,2016,1,16,16-01-2016,10.9,18.3,14.4,5.9,12.4,16.3,69.6,9.1
33.95001,151.17001,2016,1,17,17-01-2016,9.5,15.6,14.3,1,11.3,14.9,70.7,6.2
33.95001,151.17001,2016,1,18,18-01-2016,12.4,20.8,13.8,8.4,25.8,17.3,81.3,17.1
33.95001,151.17001,2016,1,19,19-01-2016,12.4,21.3,17.4,16.9,22.7,19.4,65.1,19.8
33.95001,151.17001,2016,1,20,20-01-2016,10.1,17.7,12.3,15.1,25.1,15,71.7,20.1
33.95001,151.17001,2016,1,21,21-01-2016,8.3,13.6,12.8,13.3,17.6,13.2,71.8,15.4
33.95001,151.17001,2016,1,22,22-01-2016,9.2,13.5,12.5,4.6,16,13,77.8,10.3
33.95001,151.17001,2016,1,23,23-01-2016,7.6,13.7,12.5,1.1,15.3,13.1,68.7,8.2
33.95001,151.17001,2016,1,24,24-01-2016,13.6,19.2,13,6.6,20.8,16.1,84.3,13.7
33.95001,151.17001,2016,1,25,25-01-2016,8.2,14.5,12.3,13.5,22.4,13.4,72,18
33.95001,151.17001,2016,1,26,26-01-2016,7.6,14,12.2,5.8,13.1,13.1,69.6,9.4
33.95001,151.17001,2016,1,27,27-01-2016,9.4,16.3,14,5.2,10.7,15.2,67.7,7.9
33.95001,151.17001,2016,1,28,28-01-2016,9.4,16,14.6,7.4,10.7,15.3,69.1,9
33.95001,151.17001,2016,1,29,29-01-2016,10.6,17.1,13.2,0.4,9.7,15.2,73.5,5.1
