Month,Day,TOTALDEMAND,YEAR,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
1,1,174464.51,2017,72.5,12.57,23.05,13.75,17.56,1.16,1.19,7.56,6.15,4.7,3.92
1,2,173014.94,2017,70.98,10.37,20.29,12.76,15.63,6.83,5.06,8.96,7.54,7.98,6.52
1,3,195129.49,2017,64.73,9.83,22.03,12.66,16.51,5.1,3.44,6.74,5.6,5.7,4.6
1,4,233213.59,2017,59.65,13.09,30.93,12.42,21.35,1.45,1.07,5.31,3.89,3.54,2.53
1,5,256159.69,2017,56.92,14.98,32.33,18.13,24.1,0.34,0.55,6.26,4.88,3.49,2.61
1,6,272617.47,2017,51.4,14.25,33.72,16.6,25.04,0.33,0.11,5.69,4.45,2.83,2.03
1,7,269910.04,2017,40.72,13.23,35.8,19.59,27.92,3.77,2.43,9.91,6.37,6.31,4.18
1,8,245554.05,2017,49.53,14.52,33.35,16.34,25.94,4.93,3.26,10.89,6.88,6.73,5.01
1,9,232423.98,2017,64.98,12.68,23.81,15.61,19.5,0.68,0.39,4.85,4.1,2.58,2.17
1,10,240732.64,2017,58.99,13.08,31.5,14.61,21.46,0.43,0.27,5.69,4.52,3.07,2.43
1,11,223191.71,2017,59.28,10.81,26.06,13.79,18.96,3.83,2.77,7.11,6.42,5.66,4.65
1,12,237567.89,2017,45.65,7.53,28.71,11.77,20,1.48,1.95,5.41,2.9,2.9,2.29
1,13,222683.35,2017,50.79,10.08,29.65,13.96,21.2,5.93,3.41,17.18,12.56,9.48,6.62
1,14,177993.25,2017,59.26,8.77,21.8,12.54,16.79,7,4.48,11.05,8.94,9.48,7.18
1,15,180588,2017,59.75,9.33,24.16,12.52,17.26,3.96,2.7,6.69,5.1,5.04,3.97
1,16,241857.41,2017,42.97,8.86,33.28,11.69,22.32,1.29,0.84,4.97,3.83,3.18,2.2
1,17,281035.3,2017,33.88,8.01,36.4,17.92,25.88,4.02,2.43,9.68,7.32,6.93,5.02
1,18,222422.7,2017,60.48,8.89,21.15,12.06,16.92,3.43,2.36,9.55,7.73,7.6,6.22
1,19,224742.82,2017,45.8,5.82,26.25,10.15,18,1.87,1.33,6.59,4.61,4.11,3.14
1,20,215875.37,2017,71.31,12.1,21.44,13.42,17.54,0.55,0.47,14.55,12.07,9.02,7.02
1,21,193558.14,2017,61.23,9.39,22.62,12.95,16.96,5.07,2.98,7.44,5.57,5.89,4.65
1,22,206583.22,2017,53.67,10.64,30.19,11.55,20.55,1.17,0.88,5.02,3.58,2.87,2.17
1,23,282664.11,2017,44.33,12.33,35.73,17.86,25.73,1.85,1.02,8.08,6.25,5.52,3.93
1,24,231328.32,2017,62.55,10.87,22.92,12.91,18.76,4.18,3.1,9.64,7.83,7.9,6.21
1,25,223873.4,2017,56.38,7.94,23.61,10.78,16.79,4.06,2.75,6.57,5.77,5.36,4.14
1,26,197180.12,2017,69.03,11.64,23.42,12.72,17.38,4.91,3.02,6.76,6,5.77,4.56
1,27,225027.64,2017,59.14,11.53,28.75,13.52,19.87,0.76,1.15,5.02,3.9,3.41,2.7
1,28,216673.06,2017,56.15,11.95,30.9,14.29,21.24,0.62,0.57,6.58,5.84,4.05,3.34
1,29,218041.16,2017,55.31,11.67,30.93,14.09,21.25,0.76,0.44,4.75,3.5,2.95,2.42
1,30,248585.91,2017,54.25,13.46,30.4,16.28,23.67,3.01,1.66,11.96,8.62,8.05,5.55
1,31,225726.02,2017,59.76,9.47,23.93,13.32,17.57,4.84,3.03,7.17,6.32,5.8,4.78
2,1,223739.09,2017,54.33,7.71,23.64,11.84,17.08,0.57,0.61,4.52,3.6,3.44,2.49
2,2,221338.54,2017,57.01,9.54,25.35,11.91,18.3,2.83,1.68,5.92,4.86,4.69,3.56
2,3,234904.54,2017,52.47,9.33,28.51,12.48,19.62,2,1.37,4.93,3.56,3.06,2.38
2,4,234723.4,2017,43.86,10.47,34.11,13.68,23.9,0.44,0.33,8.61,6.66,4.13,3.14
2,5,220768.55,2017,78.17,18.38,27.25,18.12,22.47,1.09,0.73,10.75,8.23,6.61,4.76
2,6,217522.74,2017,77.3,10.92,17.86,12,15.08,6.63,4.89,8.78,6.83,7.6,5.91
2,7,223087.62,2017,67.07,12.12,26.57,11,18.56,4.86,3.84,7.88,5.68,6.45,4.64
2,8,284427.32,2017,54.65,15.29,33.83,15.15,25.07,5,2.91,10.03,7.49,7.63,5.13
2,9,310121.22,2017,58.82,17.56,36.91,17.64,26.34,4.79,3.86,11.75,8.86,8.75,6.73
2,10,277587.18,2017,69.03,16.65,30.69,16.85,22.68,2.54,2.49,5.28,4.38,3.81,3.33
2,11,223967.02,2017,65.53,14.3,27.61,15.03,21.08,1.14,0.8,6.73,5.9,4.79,4.05
2,12,178006.3,2017,61.88,7.74,19.94,12.22,15.25,5.92,4.65,11.64,9.67,9.17,7.16
