Month,Day,TOTALDEMAND,date,Day,Hourly_Counts,YEAR,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
1,1,187474.3,01-01-2018,Monday,27332.5,2018,62.6,11.5,26.53,13.5,18.82,2.8,1.81,7.47,6.33,4.42,3.59
1,2,210555.7,02-01-2018,Tuesday,23533,2018,63.27,10.4,23.23,13.2,17.37,3.9,2.67,8.23,6.98,5.51,4.52
1,3,212747.65,03-01-2018,Wednesday,27117.5,2018,61.31,9.54,22.54,12.77,16.96,3.9,2.26,6.85,6.22,6.14,4.82
1,4,226675.37,04-01-2018,Thursday,28138.5,2018,60.84,11.53,27.72,13.16,19.19,0.74,0.64,6.48,5.9,3.48,2.9
1,5,246495.47,05-01-2018,Friday,29075.5,2018,53.45,11.87,30.11,14.41,21.68,1.1,1.23,4.63,3.25,2.62,2.14
1,6,267411.69,06-01-2018,Saturday,24846.5,2018,36.28,11.14,38.27,17.91,27.5,4.63,2.77,13.07,9.75,9.07,6.38
1,7,214285.63,07-01-2018,Sunday,18486,2018,62.43,11.86,24.04,15.12,19.11,2.86,2.23,5.1,4.63,4.11,3.49
1,8,237664.14,08-01-2018,Monday,26242,2018,66.12,12.35,24.77,13.89,18.71,0.64,1.34,6.84,5.58,3.32,2.93
1,9,222722.1,09-01-2018,Tuesday,28991.5,2018,60.84,9.6,23.15,12.68,17.14,4.49,3.29,8.85,7.93,6.73,5.45
1,10,233060.08,10-01-2018,Wednesday,31671.5,2018,55.83,10.11,27.52,11.59,19.07,1.85,1.61,6.36,4.91,4.32,3.23
1,11,279215.81,11-01-2018,Thursday,30188.5,2018,39.99,10.39,34.59,14.7,24.98,0.61,0.36,7.58,4.15,3,2
1,12,264045.74,12-01-2018,Friday,27276.5,2018,67.04,16.71,28.83,15,23.05,3.33,2.43,11.74,8.67,8.18,5.81
1,13,197954.1,13-01-2018,Saturday,21173,2018,68.71,9.41,19.32,11.84,15.04,2.27,1.49,10.1,8.08,7.41,5.65
1,14,184043.36,14-01-2018,Sunday,25202,2018,57.45,7.1,20.41,11.33,15.4,6.16,3.55,9.34,7.49,8.04,6.23
1,15,218778.19,15-01-2018,Monday,32019,2018,70.69,11.66,23.13,12.2,16.94,5.86,3.29,9.81,8.51,7.63,5.82
1,16,232148.06,16-01-2018,Tuesday,34903,2018,57.44,10.39,26.63,12.01,18.9,4.55,2.76,7.48,6.4,5.76,4.33
1,17,258572.73,17-01-2018,Wednesday,36901.5,2018,40.09,7.13,32.15,11.38,21.32,1.19,0.95,5.96,3.98,3.15,2.21
1,18,309296.13,18-01-2018,Thursday,32549.5,2018,25.8,6.28,38.2,15.68,27.69,2.37,1.63,9.3,7,6.49,4.32
1,19,330141.19,19-01-2018,Friday,35743,2018,24.61,6.89,40.59,18.73,29.22,1.27,1.24,10.09,7.36,6.8,4.74
1,20,249650.05,20-01-2018,Saturday,37834.5,2018,69.54,15.17,27.02,17.02,20.85,1.95,2.24,6.79,5.49,4.08,3.57
1,21,254610.4,21-01-2018,Sunday,24511.5,2018,52.54,15.83,35.49,18.86,26.22,0.71,0.44,6.42,4.41,4.24,3.02
1,22,275910.85,22-01-2018,Monday,32131,2018,63.7,15.58,32.08,15.98,22.7,1.26,0.92,7.99,7.21,4.07,3.61
1,23,256628.94,23-01-2018,Tuesday,34090.5,2018,61.09,11.96,26.59,15.26,19.57,3.85,3.44,6.23,5.6,5.09,4.44
1,24,257799.53,24-01-2018,Wednesday,35001.5,2018,62.15,12.44,28.8,13.97,19.79,1.52,1.83,6.86,6.3,4.6,3.96
1,25,278490.42,25-01-2018,Thursday,39967,2018,60.08,14.85,33.78,15.15,22.9,0.58,0.44,5.87,5.03,3.67,2.85
1,26,257198.92,26-01-2018,Friday,27868.5,2018,73.32,17.66,31.98,17.5,22.59,0.73,0.68,7.16,6.04,3.56,2.86
1,27,278229.17,27-01-2018,Saturday,33169.5,2018,67.67,19,33.23,18.49,25.28,1.35,1.03,5.3,3.55,2.9,2.06
1,28,318873.38,28-01-2018,Sunday,20323.5,2018,51.88,18.71,36.88,22.2,29.54,2.69,1.44,9.76,7.49,6.69,4.45
1,29,320875.13,29-01-2018,Monday,20309,2018,65.67,18.34,32.88,16.95,25.09,4.7,3.73,11.92,9.15,8.57,6.39
1,30,230479.14,30-01-2018,Tuesday,25714,2018,68.77,10.44,19.03,13.69,16.1,8.08,6.32,10.74,8.97,9.45,7.52
1,31,217048.36,31-01-2018,Wednesday,27347.5,2018,58.24,6.81,18.33,12.18,14.88,7.88,4.95,11.3,9.61,10.06,7.8
2,1,215482.81,01-02-2018,Thursday,29429,2018,59.06,7.85,21.77,10.41,15.77,5.4,3.41,8.43,7.51,6.91,5.32
2,2,225892.68,02-02-2018,Friday,35588.5,2018,66.08,11.33,23.89,12.48,17.65,3.95,3.28,7.19,6.15,5.89,4.46
2,3,209894.65,03-02-2018,Saturday,31132.5,2018,63.05,12.67,27.01,12.81,19.81,3.25,3.05,8.26,6.91,5.81,4.31
2,4,212131.87,04-02-2018,Sunday,20058,2018,57.95,11.9,28.23,13.81,20.36,0.39,0.56,6.42,5.58,4.11,3.15
2,5,252931.92,05-02-2018,Monday,29831,2018,59.82,12.12,28.95,13.55,20.08,0.34,0.5,6.65,5.93,3.82,2.98
2,6,275079.45,06-02-2018,Tuesday,30804,2018,55.61,13.11,31.57,13.95,22.34,0.24,0.4,6.73,4.83,3.69,2.66
2,7,318614.63,07-02-2018,Wednesday,31192.5,2018,43.91,13.27,36.34,17.14,26.55,2.15,1,7.07,5.62,3.98,2.79
2,8,298946.02,08-02-2018,Thursday,31957,2018,60.32,15.7,29.21,19.05,23.73,2.63,1.43,5.43,4.74,3.99,3.09
2,9,274203.74,09-02-2018,Friday,37269,2018,68.99,16.01,28.37,17.5,21.85,2.33,1.66,5.09,3.37,3.47,2.67
2,10,236227.6,10-02-2018,Saturday,35876,2018,54,15.14,33.6,17.76,25.01,2.52,1.53,13.98,10.4,8.44,6.06
2,11,200880.58,11-02-2018,Sunday,20838.5,2018,61.44,10.24,21.92,13.76,17.66,5.34,3.35,8.24,6.59,6.92,5.58
2,12,232418.26,12-02-2018,Monday,30170,2018,58.62,9.49,23.8,12.28,17.62,4.26,3.04,5.86,4.84,5.2,3.84
2,13,249765.43,13-02-2018,Tuesday,33409,2018,51.1,10.53,28.26,13.51,20.99,0.52,0.32,8.54,4.49,3.61,2.23
2,14,230539,14-02-2018,Wednesday,35066,2018,44.11,6.24,22.08,12.78,18.76,5.31,3.11,16.22,12.75,9.77,7.18
2,15,234520.49,15-02-2018,Thursday,36143,2018,60.96,9.36,22.1,11.59,16.86,4.93,3.02,7.18,5.94,6.12,4.45
2,16,229472.71,16-02-2018,Friday,42759.5,2018,59.43,9.34,23.32,12.9,17.24,3.38,2.06,6.76,5.76,5.55,4.12
2,17,211599.87,17-02-2018,Saturday,46264,2018,51.47,9.19,29.29,11.61,19.42,0.97,0.66,6.35,5.02,3.87,3.02
2,18,210171.03,18-02-2018,Sunday,34216,2018,65.36,12.92,28.8,13.69,19.49,0.26,0.15,7.26,6.48,4.32,3.54
