,Month,Day,Electricity_TotalDEMAND,date,Day.1,FootFall_HpurlyAverage,YEAR,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
0,1,1,193379.92,01-01-2019,Tuesday,23905,2019,59.54,12.13,28.86,13.71,20.17,1.73,1.36,7.05,6.16,4.01,3.39
1,1,2,212941.35,02-01-2019,Wednesday,25122,2019,68.24,12.85,24.71,14.6,18.74,4.91,3.36,6.68,5.91,5.64,4.65
2,1,3,237579.21,03-01-2019,Thursday,26499,2019,57.61,12.93,30.56,13.65,21.56,0.84,1.1,5.58,3.78,3.03,2.37
3,1,4,266576.92,04-01-2019,Friday,23847,2019,40.36,11.76,39.81,15.25,26.35,4.29,2.63,11.84,9.43,8.69,6.45
4,1,5,194525.58,05-01-2019,Saturday,23724.5,2019,64.54,9.91,20.62,13.13,16.54,3.39,2.73,7.48,6.27,5.91,4.66
5,1,6,187212.43,06-01-2019,Sunday,16410.5,2019,60.83,9.74,23.38,11.78,17.29,4.84,2.74,6.88,5.96,5.68,4.45
6,1,7,219749.8,07-01-2019,Monday,24735.5,2019,62.44,11.33,25.93,13.35,18.55,1.72,2.2,6.31,5.61,4.28,3.63
7,1,8,226892.2,08-01-2019,Tuesday,26102.5,2019,59.88,11.83,29.27,14.09,19.75,0.43,0.49,8.05,7.08,4.27,3.5
8,1,9,210966.87,09-01-2019,Wednesday,29390.5,2019,58.13,8.31,21.62,11.78,16.5,5.29,2.97,7.51,6.29,6.47,5.17
9,1,10,216157.39,10-01-2019,Thursday,29506.5,2019,59.14,7.93,21.22,9.92,15.83,2.99,2.26,6.39,4.64,4.54,3.42
10,1,11,239457.27,11-01-2019,Friday,34600,2019,41,8.1,32.23,11.4,22.01,0.9,0.75,6.63,3.68,3.24,2.14
11,1,12,217257.92,12-01-2019,Saturday,26219.5,2019,45.31,9.2,28.16,14.49,21.55,3.66,3.06,9.07,7.85,7.08,5.47
12,1,13,203706.48,13-01-2019,Sunday,19673.5,2019,56.31,11.58,28.67,12.65,20.5,4.82,2.95,8.25,6.86,7.36,5.75
13,1,14,294141.07,14-01-2019,Monday,25887,2019,46.94,13.05,37.77,15.34,25.15,0.31,0.21,6.36,5.34,3.31,2.52
