,LAT,LON,YEAR,MO,DY,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
366,-37.82549,144.98161000000002,2017,1,1,72.5,12.57,23.05,13.75,17.56,1.16,1.19,7.56,6.15,4.7,3.92
367,-37.82549,144.98161000000002,2017,1,2,70.98,10.37,20.29,12.76,15.63,6.83,5.06,8.96,7.54,7.98,6.52
368,-37.82549,144.98161000000002,2017,1,3,64.73,9.83,22.03,12.66,16.51,5.1,3.44,6.74,5.6,5.7,4.6
369,-37.82549,144.98161000000002,2017,1,4,59.65,13.09,30.93,12.42,21.35,1.45,1.07,5.31,3.89,3.54,2.53
370,-37.82549,144.98161000000002,2017,1,5,56.92,14.98,32.33,18.13,24.1,0.34,0.55,6.26,4.88,3.49,2.61
371,-37.82549,144.98161000000002,2017,1,6,51.4,14.25,33.72,16.6,25.04,0.33,0.11,5.69,4.45,2.83,2.03
372,-37.82549,144.98161000000002,2017,1,7,40.72,13.23,35.8,19.59,27.92,3.77,2.43,9.91,6.37,6.31,4.18
373,-37.82549,144.98161000000002,2017,1,8,49.53,14.52,33.35,16.34,25.94,4.93,3.26,10.89,6.88,6.73,5.01
374,-37.82549,144.98161000000002,2017,1,9,64.98,12.68,23.81,15.61,19.5,0.68,0.39,4.85,4.1,2.58,2.17
375,-37.82549,144.98161000000002,2017,1,10,58.99,13.08,31.5,14.61,21.46,0.43,0.27,5.69,4.52,3.07,2.43
376,-37.82549,144.98161000000002,2017,1,11,59.28,10.81,26.06,13.79,18.96,3.83,2.77,7.11,6.42,5.66,4.65
377,-37.82549,144.98161000000002,2017,1,12,45.65,7.53,28.71,11.77,20.0,1.48,1.95,5.41,2.9,2.9,2.29
378,-37.82549,144.98161000000002,2017,1,13,50.79,10.08,29.65,13.96,21.2,5.93,3.41,17.18,12.56,9.48,6.62
379,-37.82549,144.98161000000002,2017,1,14,59.26,8.77,21.8,12.54,16.79,7.0,4.48,11.05,8.94,9.48,7.18
380,-37.82549,144.98161000000002,2017,1,15,59.75,9.33,24.16,12.52,17.26,3.96,2.7,6.69,5.1,5.04,3.97
381,-37.82549,144.98161000000002,2017,1,16,42.97,8.86,33.28,11.69,22.32,1.29,0.84,4.97,3.83,3.18,2.2
382,-37.82549,144.98161000000002,2017,1,17,33.88,8.01,36.4,17.92,25.88,4.02,2.43,9.68,7.32,6.93,5.02
383,-37.82549,144.98161000000002,2017,1,18,60.48,8.89,21.15,12.06,16.92,3.43,2.36,9.55,7.73,7.6,6.22
384,-37.82549,144.98161000000002,2017,1,19,45.8,5.82,26.25,10.15,18.0,1.87,1.33,6.59,4.61,4.11,3.14
385,-37.82549,144.98161000000002,2017,1,20,71.31,12.1,21.44,13.42,17.54,0.55,0.47,14.55,12.07,9.02,7.02
386,-37.82549,144.98161000000002,2017,1,21,61.23,9.39,22.62,12.95,16.96,5.07,2.98,7.44,5.57,5.89,4.65
387,-37.82549,144.98161000000002,2017,1,22,53.67,10.64,30.19,11.55,20.55,1.17,0.88,5.02,3.58,2.87,2.17
388,-37.82549,144.98161000000002,2017,1,23,44.33,12.33,35.73,17.86,25.73,1.85,1.02,8.08,6.25,5.52,3.93
389,-37.82549,144.98161000000002,2017,1,24,62.55,10.87,22.92,12.91,18.76,4.18,3.1,9.64,7.83,7.9,6.21
390,-37.82549,144.98161000000002,2017,1,25,56.38,7.94,23.61,10.78,16.79,4.06,2.75,6.57,5.77,5.36,4.14
391,-37.82549,144.98161000000002,2017,1,26,69.03,11.64,23.42,12.72,17.38,4.91,3.02,6.76,6.0,5.77,4.56
392,-37.82549,144.98161000000002,2017,1,27,59.14,11.53,28.75,13.52,19.87,0.76,1.15,5.02,3.9,3.41,2.7
393,-37.82549,144.98161000000002,2017,1,28,56.15,11.95,30.9,14.29,21.24,0.62,0.57,6.58,5.84,4.05,3.34
394,-37.82549,144.98161000000002,2017,1,29,55.31,11.67,30.93,14.09,21.25,0.76,0.44,4.75,3.5,2.95,2.42
395,-37.82549,144.98161000000002,2017,1,30,54.25,13.46,30.4,16.28,23.67,3.01,1.66,11.96,8.62,8.05,5.55
