REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/2/20 0:30,5789.46,65.26,TRADE,1,2,2020
VIC1,1/2/20 1:00,5657.29,75.2,TRADE,1,2,2020
VIC1,1/2/20 1:30,5478.56,43.39,TRADE,1,2,2020
VIC1,1/2/20 2:00,5286.05,39.6,TRADE,1,2,2020
VIC1,1/2/20 2:30,5151.68,24.05,TRADE,1,2,2020
VIC1,1/2/20 3:00,4982.41,8.95,TRADE,1,2,2020
VIC1,1/2/20 3:30,4917.69,8.95,TRADE,1,2,2020
VIC1,1/2/20 4:00,4936.35,25.82,TRADE,1,2,2020
VIC1,1/2/20 4:30,5019.35,20.51,TRADE,1,2,2020
VIC1,1/2/20 5:00,5051.58,23.68,TRADE,1,2,2020
VIC1,1/2/20 5:30,5127.66,33.94,TRADE,1,2,2020
VIC1,1/2/20 6:00,5235.81,30.01,TRADE,1,2,2020
VIC1,1/2/20 6:30,5395.39,72,TRADE,1,2,2020
VIC1,1/2/20 7:00,5549.04,40.61,TRADE,1,2,2020
VIC1,1/2/20 7:30,5684.3,8.95,TRADE,1,2,2020
VIC1,1/2/20 8:00,5880.74,14.18,TRADE,1,2,2020
VIC1,1/2/20 8:30,6055.45,105.18,TRADE,1,2,2020
VIC1,1/2/20 9:00,6254.71,128.22,TRADE,1,2,2020
VIC1,1/2/20 9:30,6467.58,203.52,TRADE,1,2,2020
VIC1,1/2/20 10:00,6575.14,195.9,TRADE,1,2,2020
VIC1,1/2/20 10:30,6487.83,251.2,TRADE,1,2,2020
VIC1,1/2/20 11:00,6445.53,137.33,TRADE,1,2,2020
VIC1,1/2/20 11:30,6374.15,97.91,TRADE,1,2,2020
VIC1,1/2/20 12:00,6300.82,123.44,TRADE,1,2,2020
VIC1,1/2/20 12:30,6198.84,172.71,TRADE,1,2,2020
VIC1,1/2/20 13:00,6128.71,230.51,TRADE,1,2,2020
VIC1,1/2/20 13:30,5984.97,100.75,TRADE,1,2,2020
VIC1,1/2/20 14:00,5883.51,107.7,TRADE,1,2,2020
VIC1,1/2/20 14:30,5769.18,164.91,TRADE,1,2,2020
VIC1,1/2/20 15:00,5740.77,52.48,TRADE,1,2,2020
VIC1,1/2/20 15:30,5756.11,52.12,TRADE,1,2,2020
VIC1,1/2/20 16:00,5631.32,24.45,TRADE,1,2,2020
VIC1,1/2/20 16:30,5519.58,16.51,TRADE,1,2,2020
VIC1,1/2/20 17:00,5449.95,16.23,TRADE,1,2,2020
VIC1,1/2/20 17:30,5341.96,14.81,TRADE,1,2,2020
VIC1,1/2/20 18:00,5303.63,43.37,TRADE,1,2,2020
VIC1,1/2/20 18:30,5268.9,94.63,TRADE,1,2,2020
VIC1,1/2/20 19:00,5147.04,225.01,TRADE,1,2,2020
VIC1,1/2/20 19:30,4970.52,213.69,TRADE,1,2,2020
VIC1,1/2/20 20:00,5001.43,182.42,TRADE,1,2,2020
VIC1,1/2/20 20:30,4938.05,60.07,TRADE,1,2,2020
VIC1,1/2/20 21:00,4794.08,109.65,TRADE,1,2,2020
VIC1,1/2/20 21:30,4702.29,27.6,TRADE,1,2,2020
VIC1,1/2/20 22:00,4600.66,59.24,TRADE,1,2,2020
VIC1,1/2/20 22:30,4390.56,69.61,TRADE,1,2,2020
VIC1,1/2/20 23:00,4387.98,77.01,TRADE,1,2,2020
VIC1,1/2/20 23:30,4580.6,59.13,TRADE,1,2,2020
VIC1,2/2/20 0:00,4578.36,49.35,TRADE,2,2,2020
VIC1,2/2/20 0:30,4412.91,47.2,TRADE,2,2,2020
VIC1,2/2/20 1:00,4244.44,26.54,TRADE,2,2,2020
VIC1,2/2/20 1:30,4125.55,19,TRADE,2,2,2020
VIC1,2/2/20 2:00,4001.43,8.95,TRADE,2,2,2020
VIC1,2/2/20 2:30,3904.67,9.14,TRADE,2,2,2020
VIC1,2/2/20 3:00,3812.26,8.95,TRADE,2,2,2020
VIC1,2/2/20 3:30,3753.08,15.98,TRADE,2,2,2020
VIC1,2/2/20 4:00,3767.96,29.18,TRADE,2,2,2020
VIC1,2/2/20 4:30,3773.21,8.95,TRADE,2,2,2020
VIC1,2/2/20 5:00,3863.84,8.95,TRADE,2,2,2020
VIC1,2/2/20 5:30,3933.9,8.95,TRADE,2,2,2020
VIC1,2/2/20 6:00,4141.25,8.95,TRADE,2,2,2020
VIC1,2/2/20 6:30,4242.02,15.94,TRADE,2,2,2020
VIC1,2/2/20 7:00,4124.06,4.47,TRADE,2,2,2020
VIC1,2/2/20 7:30,3962.49,14.96,TRADE,2,2,2020
VIC1,2/2/20 8:00,4012.22,8.95,TRADE,2,2,2020
VIC1,2/2/20 8:30,3967.6,8.95,TRADE,2,2,2020
VIC1,2/2/20 9:00,3765.14,7.46,TRADE,2,2,2020
VIC1,2/2/20 9:30,3668.41,8.95,TRADE,2,2,2020
VIC1,2/2/20 10:00,3544.05,8.95,TRADE,2,2,2020
VIC1,2/2/20 10:30,3531.04,5.97,TRADE,2,2,2020
VIC1,2/2/20 11:00,3475.42,11.9,TRADE,2,2,2020
VIC1,2/2/20 11:30,3592.06,8.95,TRADE,2,2,2020
VIC1,2/2/20 12:00,3677.03,8.95,TRADE,2,2,2020
VIC1,2/2/20 12:30,3790.91,8.95,TRADE,2,2,2020
VIC1,2/2/20 13:00,3815.02,8.95,TRADE,2,2,2020
VIC1,2/2/20 13:30,3646.41,10.03,TRADE,2,2,2020
VIC1,2/2/20 14:00,3581.38,8.95,TRADE,2,2,2020
VIC1,2/2/20 14:30,3630.51,8.95,TRADE,2,2,2020
VIC1,2/2/20 15:00,3678.23,8.95,TRADE,2,2,2020
VIC1,2/2/20 15:30,3748.71,8.95,TRADE,2,2,2020
VIC1,2/2/20 16:00,3951.55,9,TRADE,2,2,2020
VIC1,2/2/20 16:30,4125.87,8.95,TRADE,2,2,2020
VIC1,2/2/20 17:00,4362.96,9,TRADE,2,2,2020
VIC1,2/2/20 17:30,4494.28,14.29,TRADE,2,2,2020
VIC1,2/2/20 18:00,4642.01,13.79,TRADE,2,2,2020
VIC1,2/2/20 18:30,4735.07,27.03,TRADE,2,2,2020
VIC1,2/2/20 19:00,4738.04,23.12,TRADE,2,2,2020
VIC1,2/2/20 19:30,4731.76,47.74,TRADE,2,2,2020
VIC1,2/2/20 20:00,4750.34,32.44,TRADE,2,2,2020
