REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/3/20 0:30,4302.89,48.67,TRADE,1,3,2020
VIC1,1/3/20 1:00,4150.01,68.19,TRADE,1,3,2020
VIC1,1/3/20 1:30,4031.58,51.61,TRADE,1,3,2020
VIC1,1/3/20 2:00,3916.2,59.94,TRADE,1,3,2020
VIC1,1/3/20 2:30,3805.19,45.6,TRADE,1,3,2020
VIC1,1/3/20 3:00,3737.13,42.43,TRADE,1,3,2020
VIC1,1/3/20 3:30,3694.26,40.95,TRADE,1,3,2020
VIC1,1/3/20 4:00,3638.65,39.01,TRADE,1,3,2020
VIC1,1/3/20 4:30,3692.53,34.08,TRADE,1,3,2020
VIC1,1/3/20 5:00,3693.94,36.67,TRADE,1,3,2020
VIC1,1/3/20 5:30,3780.79,34.93,TRADE,1,3,2020
VIC1,1/3/20 6:00,3834.04,29.78,TRADE,1,3,2020
VIC1,1/3/20 6:30,3854.02,32.09,TRADE,1,3,2020
VIC1,1/3/20 7:00,3870.72,31.71,TRADE,1,3,2020
VIC1,1/3/20 7:30,3755.62,22.1,TRADE,1,3,2020
VIC1,1/3/20 8:00,3819.64,12.22,TRADE,1,3,2020
VIC1,1/3/20 8:30,3844.48,19.85,TRADE,1,3,2020
VIC1,1/3/20 9:00,3837.38,21.03,TRADE,1,3,2020
VIC1,1/3/20 9:30,3794.73,19.52,TRADE,1,3,2020
VIC1,1/3/20 10:00,3689.4,15.87,TRADE,1,3,2020
VIC1,1/3/20 10:30,3714.48,16.78,TRADE,1,3,2020
VIC1,1/3/20 11:00,3633.93,14.07,TRADE,1,3,2020
VIC1,1/3/20 11:30,3584.5,17.84,TRADE,1,3,2020
VIC1,1/3/20 12:00,3595.24,0.47,TRADE,1,3,2020
VIC1,1/3/20 12:30,3607.32,7.21,TRADE,1,3,2020
VIC1,1/3/20 13:00,3645.31,21.6,TRADE,1,3,2020
VIC1,1/3/20 13:30,3771.32,38.88,TRADE,1,3,2020
VIC1,1/3/20 14:00,3968.84,39.18,TRADE,1,3,2020
VIC1,1/3/20 14:30,4289.7,42.41,TRADE,1,3,2020
VIC1,1/3/20 15:00,4567.81,49.3,TRADE,1,3,2020
VIC1,1/3/20 15:30,4841.57,53.5,TRADE,1,3,2020
VIC1,1/3/20 16:00,4993.68,48.23,TRADE,1,3,2020
VIC1,1/3/20 16:30,5136.8,58.17,TRADE,1,3,2020
VIC1,1/3/20 17:00,5394.77,66.44,TRADE,1,3,2020
VIC1,1/3/20 17:30,5518.54,110.61,TRADE,1,3,2020
VIC1,1/3/20 18:00,5543.45,75.01,TRADE,1,3,2020
VIC1,1/3/20 18:30,5399.7,74.45,TRADE,1,3,2020
VIC1,1/3/20 19:00,5218.5,75.01,TRADE,1,3,2020
VIC1,1/3/20 19:30,5098.67,62.39,TRADE,1,3,2020
VIC1,1/3/20 20:00,4971.72,49.29,TRADE,1,3,2020
VIC1,1/3/20 20:30,4791.64,48.08,TRADE,1,3,2020
VIC1,1/3/20 21:00,4716.16,45.92,TRADE,1,3,2020
VIC1,1/3/20 21:30,4483.84,38.35,TRADE,1,3,2020
VIC1,1/3/20 22:00,4378.43,40.03,TRADE,1,3,2020
VIC1,1/3/20 22:30,4221.09,39.82,TRADE,1,3,2020
VIC1,1/3/20 23:00,4176.36,40.36,TRADE,1,3,2020
VIC1,1/3/20 23:30,4349.65,36.92,TRADE,1,3,2020
VIC1,2/3/20 0:00,4357.27,38.04,TRADE,2,3,2020
VIC1,2/3/20 0:30,4154.46,36.63,TRADE,2,3,2020
VIC1,2/3/20 1:00,3965.4,20.67,TRADE,2,3,2020
VIC1,2/3/20 1:30,3854.91,12.43,TRADE,2,3,2020
VIC1,2/3/20 2:00,3742.64,12.61,TRADE,2,3,2020
VIC1,2/3/20 2:30,3634.78,9.22,TRADE,2,3,2020
VIC1,2/3/20 3:00,3612.25,17.72,TRADE,2,3,2020
VIC1,2/3/20 3:30,3577.76,31.24,TRADE,2,3,2020
VIC1,2/3/20 4:00,3624.61,14.92,TRADE,2,3,2020
VIC1,2/3/20 4:30,3772.62,27.68,TRADE,2,3,2020
VIC1,2/3/20 5:00,3954.42,38.14,TRADE,2,3,2020
VIC1,2/3/20 5:30,4247.85,45.26,TRADE,2,3,2020
VIC1,2/3/20 6:00,4553.91,45.37,TRADE,2,3,2020
VIC1,2/3/20 6:30,4856.63,53.01,TRADE,2,3,2020
VIC1,2/3/20 7:00,5060.72,58.46,TRADE,2,3,2020
VIC1,2/3/20 7:30,4978.14,52.14,TRADE,2,3,2020
VIC1,2/3/20 8:00,4849.91,47.38,TRADE,2,3,2020
VIC1,2/3/20 8:30,4743.81,45.14,TRADE,2,3,2020
VIC1,2/3/20 9:00,4648.98,39.76,TRADE,2,3,2020
VIC1,2/3/20 9:30,4608.74,42.31,TRADE,2,3,2020
VIC1,2/3/20 10:00,4541.05,46.69,TRADE,2,3,2020
VIC1,2/3/20 10:30,4508.13,45.95,TRADE,2,3,2020
VIC1,2/3/20 11:00,4439.76,44.71,TRADE,2,3,2020
VIC1,2/3/20 11:30,4461.13,47.28,TRADE,2,3,2020
VIC1,2/3/20 12:00,4379.5,46.49,TRADE,2,3,2020
VIC1,2/3/20 12:30,4359.41,52.87,TRADE,2,3,2020
VIC1,2/3/20 13:00,4407.99,75.01,TRADE,2,3,2020
VIC1,2/3/20 13:30,4414.35,73,TRADE,2,3,2020
VIC1,2/3/20 14:00,4384.81,151.14,TRADE,2,3,2020
VIC1,2/3/20 14:30,4291.33,67.84,TRADE,2,3,2020
VIC1,2/3/20 15:00,4255.78,65.56,TRADE,2,3,2020
VIC1,2/3/20 15:30,4347.52,66.88,TRADE,2,3,2020
VIC1,2/3/20 16:00,4543.13,68,TRADE,2,3,2020
VIC1,2/3/20 16:30,4698.65,72.97,TRADE,2,3,2020
VIC1,2/3/20 17:00,4747.33,67.26,TRADE,2,3,2020
VIC1,2/3/20 17:30,4873.75,58.82,TRADE,2,3,2020
VIC1,2/3/20 18:00,4975.76,75.01,TRADE,2,3,2020
VIC1,2/3/20 18:30,4971.9,73.02,TRADE,2,3,2020
VIC1,2/3/20 19:00,5006.23,98.56,TRADE,2,3,2020
VIC1,2/3/20 19:30,5031.04,81.85,TRADE,2,3,2020
VIC1,2/3/20 20:00,5005.72,64.39,TRADE,2,3,2020
