REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,Day,Month,Year
VIC1,1/5/20 0:30,4610.63,19.42,TRADE,1,5,2020
VIC1,1/5/20 1:00,4418.42,10.84,TRADE,1,5,2020
VIC1,1/5/20 1:30,4236.46,3.45,TRADE,1,5,2020
VIC1,1/5/20 2:00,4053.42,0.89,TRADE,1,5,2020
VIC1,1/5/20 2:30,3911.26,-0.15,TRADE,1,5,2020
VIC1,1/5/20 3:00,3783.15,-8.38,TRADE,1,5,2020
VIC1,1/5/20 3:30,3722.47,-6.06,TRADE,1,5,2020
VIC1,1/5/20 4:00,3665.78,-11.31,TRADE,1,5,2020
VIC1,1/5/20 4:30,3666.77,-19.95,TRADE,1,5,2020
VIC1,1/5/20 5:00,3721.25,-6.92,TRADE,1,5,2020
VIC1,1/5/20 5:30,3883.14,-0.12,TRADE,1,5,2020
VIC1,1/5/20 6:00,4070.1,1.04,TRADE,1,5,2020
VIC1,1/5/20 6:30,4438.37,22.03,TRADE,1,5,2020
VIC1,1/5/20 7:00,4807.16,32.57,TRADE,1,5,2020
VIC1,1/5/20 7:30,5107.84,35.42,TRADE,1,5,2020
VIC1,1/5/20 8:00,5455.15,38.19,TRADE,1,5,2020
VIC1,1/5/20 8:30,5796.85,39.8,TRADE,1,5,2020
VIC1,1/5/20 9:00,6077.22,41.48,TRADE,1,5,2020
VIC1,1/5/20 9:30,6215.56,41.47,TRADE,1,5,2020
VIC1,1/5/20 10:00,6209.2,38.99,TRADE,1,5,2020
VIC1,1/5/20 10:30,6160.79,36.09,TRADE,1,5,2020
VIC1,1/5/20 11:00,6137.86,37.81,TRADE,1,5,2020
VIC1,1/5/20 11:30,6138.27,34.85,TRADE,1,5,2020
VIC1,1/5/20 12:00,5998,21.39,TRADE,1,5,2020
VIC1,1/5/20 12:30,6038.7,18.97,TRADE,1,5,2020
VIC1,1/5/20 13:00,5997.53,20.31,TRADE,1,5,2020
VIC1,1/5/20 13:30,5977.59,8.02,TRADE,1,5,2020
VIC1,1/5/20 14:00,5949.38,25.18,TRADE,1,5,2020
VIC1,1/5/20 14:30,5742.66,16.89,TRADE,1,5,2020
VIC1,1/5/20 15:00,5724.44,19.93,TRADE,1,5,2020
VIC1,1/5/20 15:30,5717.94,17.12,TRADE,1,5,2020
VIC1,1/5/20 16:00,5775.94,29.6,TRADE,1,5,2020
VIC1,1/5/20 16:30,5870.81,34.23,TRADE,1,5,2020
VIC1,1/5/20 17:00,5957.96,36.93,TRADE,1,5,2020
VIC1,1/5/20 17:30,6178.6,38.99,TRADE,1,5,2020
VIC1,1/5/20 18:00,6433.9,47.43,TRADE,1,5,2020
VIC1,1/5/20 18:30,6537.4,40.96,TRADE,1,5,2020
VIC1,1/5/20 19:00,6389.68,36.85,TRADE,1,5,2020
VIC1,1/5/20 19:30,6140.97,33.2,TRADE,1,5,2020
VIC1,1/5/20 20:00,5965.89,33.26,TRADE,1,5,2020
VIC1,1/5/20 20:30,5783.96,32.77,TRADE,1,5,2020
VIC1,1/5/20 21:00,5616.59,28.98,TRADE,1,5,2020
VIC1,1/5/20 21:30,5408.43,16.4,TRADE,1,5,2020
VIC1,1/5/20 22:00,5245.44,1.99,TRADE,1,5,2020
VIC1,1/5/20 22:30,5026,25.57,TRADE,1,5,2020
VIC1,1/5/20 23:00,4877.91,20.63,TRADE,1,5,2020
