,Month,Day,TOTALDEMAND,date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10,,FootFall_Hourly_Average
0,1,1,187474.3,31/12/18,5.9,2.52,2.35,-1.2,,-3,95,76.8,71.5,48,0.7,-1.4,-2,-4.8,17,8.88,10.5,4,,,103.39,103.22,103.19,102.99,103.15,102.98,102.95,102.75,48300,42262.5,40250,32200,6,2.7,3.8,1.7,15.7,0,0,0,0,0,0,0,0,8:05:00,16:28:00,8.38,8.08,16.47,1,1,5,5,0,1,,,,,,8,5.8,4.5,1,,,,,,27332.5
1,1,2,210555.7,30/12/18,8.8,4.89,4.3,-0.2,,,98,77,75.5,53,2.9,0.9,0.8,-1.2,17,9.17,9,1,32,35,102.96,102.27,102.28,101.6,102.72,102.03,102.04,101.36,48300,37216.7,36200,24100,2.3,2.1,2.1,1.9,13.7,0,0,0,0,0,0,0,0,8:05:00,16:27:00,8.37,8.08,16.45,1,1,8,8,0,0,,,,,,5,2.3,3,1,,,,,,23533
2,1,3,212747.65,29/12/18,11.9,8.99,8.25,4.6,,,99,80.4,82,65,9.8,5.7,5.5,1.2,35,19,18,1,67,18,101.8,101.45,101.49,101.17,101.56,101.21,101.24,100.93,48300,29500,29000,9700,2.5,2.1,1.9,1.3,9.8,0,3.2,1.2,0,9.8,9.8,0,0,8:05:00,16:26:00,8.35,8.08,16.43,1,1,10,10,5,5,,,,,,8,6.3,5,2,,,,,,27117.5
3,1,4,226675.37,28/12/18,7.2,5.69,5.75,4.3,,,99,95.8,94.5,90,6.9,5.1,5.2,3.6,23,13.67,12,1,35,15,102.91,102.38,102.36,101.81,102.67,102.14,102.12,101.57,16100,8608.3,9050,2000,2,1.5,1.6,1.3,12.2,0,0.8,0,0,17.8,17.8,0,0,8:05:00,16:25:00,8.33,8.08,16.42,,,5,6,6,6,,,,,,8,8,7.5,7,,,,,,28138.5
4,1,5,246495.47,27/12/18,6.3,3.72,3.05,-0.2,,,99,90.8,87.5,76,4.2,2.3,2.3,0.4,15,7.38,8.5,2,,,102.97,102.8,102.66,102.35,102.73,102.56,102.42,102.11,48300,30104.2,27350,6400,3,2.1,2.2,1.4,14.9,0,0,0,0,0.2,0.2,0,0,8:05:00,16:25:00,8.33,8.08,16.42,1,1,5,5,4,5,,,,,,8,6.8,5,2,,,,,,29075.5
5,1,6,267411.69,26/12/18,7.4,5.04,4.84,2.3,,,97,87.2,88,79,4.6,3,2.4,0.2,30,15.29,17,4,45,12,102.29,101.75,101.88,101.47,102.05,101.51,101.64,101.23,32200,26000,25750,19300,3,1.8,2.1,1.3,13.2,0,0,0,0,3.7,3.7,0,0,8:04:00,16:24:00,8.33,8.07,16.4,,,6,6,1,1,,,,,,8,6.3,5.5,3,,,,,,24846.5
6,1,7,214285.63,25/12/18,6.6,4.07,3.59,0.6,,,99,89.6,87,75,3.5,2.4,2.4,1.2,11,6.67,6,1,,,102.46,102.29,102.27,102.09,102.22,102.05,102.03,101.85,32200,28520.8,16400,600,4,2.1,2.8,1.6,14.4,0,0,0,0,0,0,0,0,8:04:00,16:23:00,8.32,8.07,16.38,1,1,6,6,3,3,,,,,,8,7.1,6,4,,,,,,18486
7,1,8,237664.14,24/12/18,7.4,4.75,5,2.6,,,99,95.8,94.5,90,5.9,4.1,3.8,1.8,9,6.96,6,3,,,102.07,101.81,101.89,101.71,101.83,101.58,101.65,101.47,32200,24925,21750,11300,5,2.1,3.2,1.5,13,0,0,0,0,0.2,0.2,0,0,8:04:00,16:23:00,8.32,8.07,16.38,1,1,8,8,1,1,,,,,,8,7,5.5,3,,,,,,26242
8,1,9,222722.1,23/12/18,8.4,6.36,6.1,3.8,,,99,89.5,88.5,78,5.7,4.7,4.5,3.4,25,13.58,13.5,2,67,14,101.72,101.34,101.33,100.94,101.48,101.1,101.09,100.7,48300,28237.5,26550,4800,4,2.4,2.9,1.8,11.9,0,1.1,0,0,7,7,0,0,8:03:00,16:22:00,8.32,8.05,16.37,,,7,10,4,7,,,,,,8,7.2,6,4,,,,,,28991.5
9,1,10,233060.08,22/12/18,7.4,6.04,6.1,4.8,,,96,80,81,66,4.6,2.8,3,1.4,45,19.79,23,1,71,15,102.24,101.57,101.55,100.86,102,101.33,101.31,100.62,48300,27225,28200,8100,2.2,2,2,1.7,11.9,0,1.1,0,0,9.8,9.8,0,0,8:03:00,16:21:00,8.3,8.05,16.35,,,7,7,7,7,,,,,,8,7.7,6,4,,,,,,31671.5
