Month,Day,Electricity_TotalDEMAND,date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10,Unnamed: 70,Date,Day,FootFall_HpurlyAverage
1,1,193379.92,1/1/19,5.5,3.37,3.3,1.1,,,92,82,79,66,2.1,0.5,0.8,-0.5,9,5.79,5,1,,,103.19,102.96,102.89,102.58,102.95,102.72,102.64,102.34,48300,34212.5,40250,32200,5,3.1,3.3,1.6,14.7,0,0,0,0,0,0,0,0,8:05:00,16:29:00,8.4,8.08,16.48,1,1,5,6,3,3,,,,,,8,8,7.5,7,,,,,,1/1/19,Tuesday,23905
1,2,212941.35,2/1/19,6.6,4.18,3.84,1.1,,,98,90.8,88,78,5.7,2.8,3.1,0.6,21,7.58,11.5,2,31,11,102.55,101.87,101.8,101.05,102.31,101.63,101.56,100.81,32200,24729.2,24150,16100,3,2,2.2,1.5,14.2,0,0,0,0,7.8,7.8,0,0,8:05:00,16:30:00,8.42,8.08,16.5,1,1,6,6,6,6,,,,,,8,8,8,8,,,,,,2/1/19,Wednesday,25122
1,3,237579.21,3/1/19,9.1,8.07,7.75,6.4,,,99,96.1,91.5,84,8.7,7.5,6.8,5,30,20.62,18.5,7,50,15,100.96,100.54,100.51,100.06,100.72,100.3,100.28,99.83,24100,10679.2,14450,4800,2.3,1.9,2,1.7,10.2,0,2.8,0.8,0,48.2,48.2,0,0,8:05:00,16:31:00,8.43,8.08,16.52,,,10,10,6,6,,,,,,8,7.9,6.5,5,,,,,,3/1/19,Thursday,26499
1,4,266576.92,4/1/19,11.4,8.55,8.85,6.3,,,97,81.4,80.5,64,7,5.4,5.5,4,26,14.5,14,2,52,20,100.99,100.64,100.61,100.24,100.76,100.41,100.39,100.01,48300,32320.8,33800,19300,2.8,2.4,2.3,1.8,9.2,0,3.8,1.8,0,7.2,7.2,0,0,8:05:00,16:32:00,8.45,8.08,16.53,,,10,10,4,6,,,,,,8,6.3,5,2,,,,,,4/1/19,Friday,23847
1,5,194525.58,5/1/19,8.3,6.45,6.35,4.4,,,98,91.9,88,78,6,5.2,5.2,4.3,13,7.08,7,1,,,100.75,99.72,99.72,98.68,100.52,99.49,99.48,98.45,48300,32725,33800,19300,2.2,1.8,1.8,1.4,11.7,0,1.4,0,0,1.6,1.6,0,0,8:05:00,16:33:00,8.47,8.08,16.55,1,1,8,8,6,6,,,,,,8,7.8,7.5,7,,,,,,5/1/19,Saturday,23724.5
1,6,187212.43,6/1/19,7.3,4.76,4.4,1.5,,,98,84.2,83,68,6.7,2.3,3.5,0.4,33,13.58,18,3,68,25,100.43,99.8,99.53,98.63,100.19,99.57,99.3,98.4,48300,30850,26550,4800,2.6,2.3,2.1,1.7,13.6,0,0,0,0,9.4,9.4,0,0,8:05:00,16:34:00,8.48,8.08,16.57,1,1,6,8,1,1,,,,,,8,6.5,5.5,3,,,,,,6/1/19,Sunday,16410.5
1,7,219749.8,7/1/19,6.5,2.62,2.4,-1.7,,-3,96,80.1,77,58,1.1,-0.7,-0.6,-2.3,24,8.71,12.5,1,35,5,102.5,101.79,101.51,100.52,102.26,101.55,101.27,100.28,32200,32200,32200,32200,3.3,2.4,2.6,2,15.6,0,0,0,0,0,0,0,0,8:04:00,16:35:00,8.52,8.07,16.58,1,1,7,7,1,1,,,,,,8,3.2,4.5,1,,,,,,7/1/19,Monday,24735.5
1,8,226892.2,8/1/19,6,4.14,4.45,2.9,,,97,73,75.5,54,2.8,-0.5,-0.4,-3.5,35,20.83,18,1,58,5,102.28,101.51,101.53,100.79,102.04,101.27,101.3,100.55,32200,26337.5,25750,19300,2.2,2,2,1.8,13.6,0,0,0,0,3.2,3.2,0,0,8:04:00,16:36:00,8.53,8.07,16.6,,,4,5,4,4,,,,,,8,7.9,7,6,,,,,,8/1/19,Tuesday,26102.5
1,9,210966.87,9/1/19,9.8,6.97,6.4,3,,,98,91.2,87.5,77,8,5.6,5.6,3.2,35,16.92,19.5,4,54,14,100.89,100.51,100.55,100.21,100.66,100.27,100.32,99.98,32200,26000,25750,19300,2,1.8,1.7,1.4,11.6,0,1.4,0,0,2.4,2.4,0,0,8:04:00,16:38:00,8.57,8.07,16.63,,,9,10,9,9,,,,,,8,8,8,8,,,,,,9/1/19,Wednesday,29390.5
1,10,216157.39,10/1/19,10.6,9.39,8.9,7.2,,,99,92,91,83,9.3,8.1,8.3,7.3,19,9.62,11,3,35,13,101.83,101.61,101.41,100.99,101.59,101.38,101.17,100.76,48300,32791.7,32200,16100,2.2,1.9,1.9,1.6,9.1,0,3.9,1.9,0,1.4,1.4,0,0,8:03:00,16:39:00,8.6,8.05,16.65,,,10,11,6,6,,,,,,8,7.8,7.5,7,,,,,,10/1/19,Thursday,29506.5
