,Month,Day,TOTALDEMAND,date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10,,FootFall_HourlyAverage
0,1,1,173783.44,1/1/20,12.9,9.59,9.19,5.5,,,86,69.1,72.5,59,7.9,4.2,3.8,-0.2,29,17.79,16,3,59,26,101.68,100.78,100.88,100.07,101.44,100.54,100.64,99.84,48300,38558.3,36200,24100,2.5,2.3,2.3,2.1,8.8,0,4.2,2.2,0,0,0,0,,8:05:00,16:29:00,8.4,8.08,16.48,1,1,10,10,4,4,,,,,,8,6,5.5,3,,,,,,31847
1,1,2,205976.37,2/1/20,6,4.33,3.45,0.9,,,100,89.5,86,72,6.8,2.7,2.9,-1,27,12.71,14,1,45,14,102.06,101.63,101.54,101.03,101.82,101.39,101.31,100.79,32200,18108.3,18500,4800,2.6,2,1.8,1,14.6,0,0,0,0,14.6,14.6,0,0,8:05:00,16:30:00,8.42,8.08,16.5,1,1,6,8,7,8,,,,,,8,7.8,6,4,,,,,,30416
2,1,3,237844.43,3/1/20,10.9,8.98,8.4,5.9,,,100,88,84.5,69,9.1,7,6.7,4.2,24,16.38,12.5,1,39,15,101.07,100.7,100.62,100.17,100.84,100.47,100.39,99.94,32200,24408.3,21750,11300,2.4,1.9,1.8,1.3,9.6,0,3.4,1.4,0,11.2,11.2,0,0,8:05:00,16:31:00,8.43,8.08,16.52,1,1,11,11,4,4,,,,,,8,7.8,7.5,7,,,,,,31347
3,1,4,204491.22,4/1/20,8.2,5.75,5.65,3.1,,,99,87,81,63,5.7,3.6,2.6,-0.4,26,14.71,15.5,5,52,27,102.51,102.05,101.67,100.82,102.27,101.81,101.43,100.59,32200,27479.2,24150,16100,2.3,1.5,1.6,1,12.3,0,0.6,0,0,11.8,11.8,0,0,8:05:00,16:32:00,8.45,8.08,16.53,1,1,8,8,5,5,,,,,,8,6.5,5,2,,,,,,28822
4,1,5,191342.4,5/1/20,8.3,6.32,6.55,4.8,,,96,79.8,74,52,5.5,2.8,2.1,-1.3,34,18.5,19.5,5,65,25,102.59,102.16,102.08,101.57,102.35,101.92,101.84,101.33,48300,31575,33800,19300,2.2,1.7,1.6,1,11.4,0,1.6,0,0,2,2,0,0,8:05:00,16:33:00,8.47,8.08,16.55,1,1,8,8,4,4,,,,,,8,6.5,5,2,,,,,,15343.5
5,1,6,220507.18,6/1/20,5.8,5.08,4.59,3.4,,,100,100,100,100,5.8,5.1,4.7,3.5,21,8.46,11,1,33,12,102.38,101.79,101.92,101.46,102.14,101.55,101.68,101.22,19300,8725,10650,2000,1.8,1.3,1.4,1,13.4,0,0,0,0,14.8,14.8,0,0,8:05:00,16:34:00,8.48,8.08,16.57,,,8,8,9,9,,,,,,8,7.9,7.5,7,,,,,,24545
6,1,7,218673.12,7/1/20,9.9,8.23,7.65,5.4,,,100,93.2,84.5,69,9.5,7.1,5.2,1,32,18.75,16.5,1,52,24,101.35,100.62,100.74,100.14,101.11,100.39,100.51,99.91,32200,20720.8,18500,4800,2.4,1.2,1.7,1,10.3,0,2.6,0.6,0,20.3,20.3,0,0,8:04:00,16:35:00,8.52,8.07,16.58,,,11,11,2,2,,,,,,8,7.4,5,2,,,,,,30529.5
7,1,8,220077.25,8/1/20,7.3,3.98,3.85,0.4,,,99,76.9,80.5,62,1.6,0.1,0.3,-1,39,11.29,21,3,52,28,101.53,101.05,101.02,100.52,101.29,100.81,100.79,100.29,32200,31187.5,28150,24100,3,1.2,2,1,14.2,0,0,0,0,0,0,0,0,8:04:00,16:36:00,8.53,8.07,16.6,1,1,8,8,2,2,,,,,,8,7,4.5,1,,,,,,35312
8,1,9,254731.18,9/1/20,5.3,2.67,1.5,-2.3,,-4,100,84.5,82,64,1.5,0.2,0.1,-1.3,21,9.92,11,1,33,13,102.32,102.09,101.94,101.56,102.08,101.86,101.7,101.32,48300,39908.3,36200,24100,3,1.9,2,1,16.5,0,0,0,0,0,0,0,0,8:04:00,16:37:00,8.55,8.07,16.62,1,1,6,6,3,3,,,,,,8,6.3,4.5,1,,,,,,34725.5
9,1,10,245067.76,10/1/20,7.5,5.22,4.7,1.9,,,100,97.7,88,76,6.8,4.9,3.6,0.4,39,23.38,22,5,65,15,102.06,100.53,100.93,99.81,101.82,100.29,100.7,99.58,32200,20241.7,21750,11300,1.8,1.5,1.6,1.3,13.3,0,0,0,0,22.6,22.6,0,0,8:03:00,16:39:00,8.6,8.05,16.65,,,8,8,4,4,,,,,,8,7.9,7.5,7,,,,,,35416
10,1,11,183773.21,11/1/20,6.9,4.87,5.2,3.5,,,100,95.7,87.5,75,6.6,4.2,3.8,1,24,9.75,13,2,33,29,101.24,100.77,100.54,99.84,101,100.54,100.31,99.61,48300,29625,30600,12900,2.3,1.9,1.9,1.5,12.8,0,0.2,0,0,5,5,0,,8:03:00,16:40:00,8.62,8.05,16.67,1,1,7,7,4,5,,,,,,8,7.9,7.5,7,,,,,,28597.5
11,1,12,183595.19,12/1/20,6.1,2.86,2.29,-1.5,,-6,100,90.8,87.5,75,4.9,1.4,0,-4.9,31,14.08,17,3,54,32,100.86,100.1,100.26,99.66,100.62,99.86,100.03,99.43,48300,23920.8,24750,1200,2.1,1.9,1.8,1.6,15.7,0,0,0,0,12.3,9.8,2.5,3,8:02:00,16:41:00,8.65,8.03,16.68,,,6,6,-3,-3,,,,,,8,7.7,7,6,,,,,,20774.5
12,1,13,239307.89,13/1/20,-0.5,-4.13,-2.8,-5.1,,-11,80,71.5,73,66,-6.4,-8.6,-8.3,-10.2,29,14.21,19,9,39,6,101.37,101.22,101.17,100.96,101.13,100.98,100.92,100.72,24100,14825,14450,4800,3,1.9,2.4,1.7,20.8,0,0,0,0,2.3,0,2.3,3,8:02:00,16:42:00,8.67,8.03,16.7,,,-2,-2,-6,-4,,,,,,8,8,8,8,,,,,,31676
